PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AUID,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,COIS,RF,TT,OID,CIN,CON,CN,FIR,IR,SI,EIN,MID,PMCR
14725994,NLM,MEDLINE,20040504,20190906,0165-5876 (Print) 0165-5876 (Linking),68,2,2004 Feb,Wolfram syndrome.,243-7,,"The Wolfram syndrome is a rare dysmorphogenetic disease of autosomic recessive hereditary nature. The pathogenesis of the disease is still not well known. It is characterised by the presence of diabetes insipidus, diabetes mellitus, optic atrophy and deafness. Other anomalies, such as renal outflow tracts and multiple neurological disorders may develop later. In our case report the diabetes mellitus appeared at the age of 4; the hearing loss and renal disturbances at the age of 11; the optic atrophy at the age of 16. No signs of ataxia, diabetes insipidus and neurologic anomalies were found. The diagnosis of Wolfram syndrome is not always easy in the first stages of the disease. The suspect may come from the presence of a juvenile diabetes mellitus asssociated with optic atrophy. For the diagnosis a valid clue can be given from the results of some clinical tests such as the positivity of the visual evoked potentials and the retinogram reliefs and the exclusion of the autoimmune origin of the diabetes mellitus. Other signs such as the progressive sensorineural hearing loss, the presence of nystagmus and of urodynamic disturbances and renal complications makes the diagnosis of this syndrome easier.",,"['Megighian, David', 'Savastano, Marina']","['Megighian D', 'Savastano M']",,"['Dipartimento di Specialita Medico-Chirurgiche, Sezione ORL, Padua University, Via Giustiniani 2, 35128, Padua, Italy. marina.savastano@pop.unipd.it']",['eng'],,"['Case Reports', 'Journal Article']",Ireland,Int J Pediatr Otorhinolaryngol,International journal of pediatric otorhinolaryngology,8003603,,IM,"['Adolescent', 'Diabetes Insipidus/etiology', 'Diabetes Mellitus/etiology', 'Hearing Loss/etiology', 'Humans', 'Male', 'Optic Atrophy/etiology', 'Wolfram Syndrome/complications/*diagnosis/physiopathology']",,,,2004/01/17 05:00,2004/05/05 05:00,['2004/01/17 05:00'],"['2004/01/17 05:00 [pubmed]', '2004/05/05 05:00 [medline]', '2004/01/17 05:00 [entrez]']","['S0165587603003744 [pii]', '10.1016/j.ijporl.2003.10.012 [doi]']",ppublish,Int J Pediatr Otorhinolaryngol. 2004 Feb;68(2):243-7. doi: 10.1016/j.ijporl.2003.10.012.,,,,,,,,,,,,,,
5550915,NLM,MEDLINE,19710526,20131121,0012-0472 (Print) 0012-0472 (Linking),96,13,1971 Mar 26,[Chlorpropamide for diabetes insipidus].,549-51,,,,"['Uhlich, E', 'Loeschke, K']","['Uhlich E', 'Loeschke K']",,,['ger'],,['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,"['3K9958V90M (Ethanol)', 'WTM2C3IL2X (Chlorpropamide)']",IM,"['Adult', 'Child', 'Child, Preschool', 'Chlorpropamide/administration & dosage/adverse effects/*therapeutic use', 'Diabetes Insipidus/*drug therapy', 'Diabetes Mellitus/drug therapy', 'Ethanol/adverse effects', 'Humans', 'Hypoglycemia/chemically induced', 'Kidney Function Tests']",,,,1971/03/26 00:00,1971/03/26 00:01,['1971/03/26 00:00'],"['1971/03/26 00:00 [pubmed]', '1971/03/26 00:01 [medline]', '1971/03/26 00:00 [entrez]']",['10.1055/s-0028-1108291 [doi]'],ppublish,Dtsch Med Wochenschr. 1971 Mar 26;96(13):549-51. doi: 10.1055/s-0028-1108291.,,,,Chlorpropamid bei Diabetes insipidus.,,,,,,,,,,
33645512,NLM,MEDLINE,20210503,20210503,1530-891X (Print) 1530-891X (Linking),27,5,2021 May,Postoperative Copeptin as a Biomarker for Development of Diabetes Insipidus Following Hypothalamic-Pituitary Surgery.,463-470,S1530-891X(20)48397-1 [pii] 10.1016/j.eprac.2020.11.015 [doi],"OBJECTIVE: Copeptin is a surrogate marker of arginine vasopressin release with better stability and simplicity of measurement. Postoperative copeptin levels may guide clinicians in stratifying patients who need close monitoring of fluid balance. The objective is to determine whether copeptin is a predictive marker of postoperative diabetes insipidus (DI). METHODS: This is a prospective diagnostic study. Patients who underwent neurosurgical intervention of the sellar-suprasellar regions were recruited. Serum copeptin levels were measured before and after surgery, within 24 hours. Logistic regression analysis and diagnostic performance measures were calculated to determine the relationship between postoperative copeptin levels and DI. RESULTS: Of 82 patients, 26 (31.7%) developed postoperative DI, with 7 patients (8.5%) having permanent DI. The samples for copeptin measurement were taken at 13 +/- 2.1 hours postoperatively. From the receiver operating characteristic analysis, low postoperative copeptin levels (<2.5 pmol/L) demonstrated an acceptable ability to predict DI (area under the curve, 0.72; 95% CI, 0.60-0.84). Discriminative power was stronger in the permanent DI group (area under the curve, 0.82; 95% CI, 0.64-1.00). Postoperative copeptin levels <2.5 pmol/L were associated with DI (specificity > 91%). However, postoperative copeptin levels >20 pmol/L were rarely associated with DI, with a negative predictive value of 100%. CONCLUSIONS: In patients undergoing sellar-suprasellar interventions, low postoperative copeptin levels within the first postoperative day predict postoperative DI, whereas high levels exclude it. Copeptin measurement should be applied in the clinical practice of postoperative care in patients following hypothalamic-pituitary surgery. This study may expand the potential use of copeptin, including in the Asian population.",['Copyright (c) 2020 AACE. Published by Elsevier Inc. All rights reserved.'],"['Vanasuntorn, Amporn', 'Hansasuta, Ake', 'Chailurkit, La-Or', 'Sriphrapradang, Chutintorn']","['Vanasuntorn A', 'Hansasuta A', 'Chailurkit LO', 'Sriphrapradang C']",,"['Division of Endocrinology and Metabolism, Department of Medicine, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok 10400, Thailand.', 'Division of Neurosurgery, Department of Surgery, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok 10400, Thailand.', 'Division of Endocrinology and Metabolism, Department of Medicine, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok 10400, Thailand.', 'Division of Endocrinology and Metabolism, Department of Medicine, Faculty of Medicine Ramathibodi Hospital, Mahidol University, Bangkok 10400, Thailand. Electronic address: chutins@gmail.com.']",['eng'],,['Journal Article'],United States,Endocr Pract,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,9607439,"['0 (Biomarkers)', '0 (Glycopeptides)', '0 (copeptins)']",IM,"['Biomarkers', '*Diabetes Insipidus/diagnosis/etiology', '*Diabetes Mellitus', 'Glycopeptides', 'Humans', 'Polyuria', 'Prospective Studies']",,['NOTNLM'],"['Diabetes insipidus', 'ROC curve', 'diagnosis', 'hypernatremia', 'osmolar concentration', 'polyuria']",2021/03/02 06:00,2021/05/04 06:00,['2021/03/01 08:57'],"['2020/08/28 00:00 [received]', '2020/10/29 00:00 [revised]', '2020/11/07 00:00 [accepted]', '2021/03/02 06:00 [pubmed]', '2021/05/04 06:00 [medline]', '2021/03/01 08:57 [entrez]']","['S1530-891X(20)48397-1 [pii]', '10.1016/j.eprac.2020.11.015 [doi]']",ppublish,Endocr Pract. 2021 May;27(5):463-470. doi: 10.1016/j.eprac.2020.11.015. Epub 2020 Dec 15.,20201215,,,,,,,,,,,,,
31648586,NLM,MEDLINE,20210514,20210514,1531-1937 (Electronic) 0897-1900 (Linking),34,2,2021 Apr,Delayed Onset of Central Diabetes Insipidus With Ketamine Sedation: A Report of 2 Cases.,314-318,10.1177/0897190019882266 [doi],"Ketamine is being prescribed with greater frequency due to an emphasis on multimodal analgesia. With increasing use, uncommon adverse effects associated with ketamine are likely to surface. Limited reports of transient central diabetes insipidus (DI) occurring early after initiation (ie, within 10 hours) of ketamine have been reported. We present 2 cases of delayed onset (32 hours or more after initiation), ketamine-induced, transient central DI in patients cannulated for venovenous extracorporeal membranous oxygenation. No other causes of central DI were determined based upon physical examination or laboratory data, and both patients responded to treatment with desmopressin/vasopressin. The Naranjo adverse drug reaction probability scale noted a probable causation for each case. These cases demonstrate the possibility of a rare but serious complication of ketamine. Improvement after discontinuation of ketamine and administration of desmopressin/vasopressin appear to support a drug-effect association.",,"['Herity, Leah B', 'Baker, Cassandra', 'Kim, Christin', 'Lowe, Denise K', 'Cahoon, William D Jr']","['Herity LB', 'Baker C', 'Kim C', 'Lowe DK', 'Cahoon WD Jr']",['ORCID: 0000-0002-9976-6596'],"['6887Virginia Commonwealth University Health System, Virginia Commonwealth University School of Pharmacy, Richmond, VA, USA.', 'Cardiac Surgery, 6887Virginia Commonwealth University Health System, Virginia Commonwealth University School of Pharmacy, Richmond, VA, USA.', 'Department of Anesthesiology, 6887Virginia Commonwealth University Health System, Virginia Commonwealth University School of Medicine, Richmond, VA, USA.', 'Drug Information Services, 6887Virginia Commonwealth University Health System, Virginia Commonwealth University School of Pharmacy, Richmond, VA, USA.', 'Cardiology, 6887Virginia Commonwealth University Health System/Medical College of Virginia Hospitals, Virginia Commonwealth University School of Pharmacy, Richmond, VA, USA.']",['eng'],,"['Case Reports', 'Journal Article']",United States,J Pharm Pract,Journal of pharmacy practice,8900945,['690G0D6V8H (Ketamine)'],IM,"['*Anesthesia', '*Diabetes Insipidus, Neurogenic/chemically induced/diagnosis/drug therapy', '*Diabetes Mellitus', '*Extracorporeal Membrane Oxygenation', 'Humans', '*Ketamine/adverse effects']",,['NOTNLM'],"['diabetes insipidus', 'ketamine', 'polyuria', 'sedation']",2019/10/28 06:00,2021/05/15 06:00,['2019/10/26 06:00'],"['2019/10/28 06:00 [pubmed]', '2021/05/15 06:00 [medline]', '2019/10/26 06:00 [entrez]']",['10.1177/0897190019882266 [doi]'],ppublish,J Pharm Pract. 2021 Apr;34(2):314-318. doi: 10.1177/0897190019882266. Epub 2019 Oct 24.,20191024,,,,,,,,,,,,,
250615,NLM,MEDLINE,19781220,20080214,0025-8342 (Print) 0025-8342 (Linking),37,7,1978 Jul,[Steroid diabetes].,31-2,,,,"['Maksimova, M V']",['Maksimova MV'],,,['rus'],,['Journal Article'],Russia (Federation),Med Sestra,Meditsinskaia sestra,18620490R,['0 (Glucocorticoids)'],,"['*Diabetes Insipidus', 'Diabetes Mellitus/*chemically induced', 'Glucocorticoids/*adverse effects', 'Humans']",,,,1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",,ppublish,Med Sestra. 1978 Jul;37(7):31-2.,,,,Steroidyi diabet.,,,,,,,,,,
36244744,NLM,MEDLINE,20221130,20221130,1348-4540 (Electronic) 0918-8959 (Linking),69,11,2022 Nov 28,Changing the name of diabetes insipidus: a position statement of The Working Group for Renaming Diabetes Insipidus.,1281-1284,10.1507/endocrj.EJ20220831 [doi],"""What's in a name? That which we call a rose/By any other name would smell as sweet."" (Juliet, from Romeo and Juliet by William Shakespeare). Shakespeare's implication is that a name is nothing but a word and it therefore represents a convention with no intrinsic meaning. Whilst this may be relevant to romantic literature, disease names do have real meanings, and consequences, in medicine. Hence, there must be a very good rational for changing the name of a disease that has a centuries-old historical context. A working group of representatives from national and international endocrinology and pediatric endocrine societies now proposes changing the name of ""diabetes insipidus"" to ""Arginine Vasopressin Deficiency (AVP-D)"" for central etiologies, and ""Arginine Vasopressin Resistance (AVP-R)"" for nephrogenic etiologies. This editorial provides both the historical context and the rational for this proposed name change.",,"['Arima, Hiroshi', 'Cheetham, Timothy', 'Christ-Crain, Mirjam', 'Cooper, Deborah', 'Gurnell, Mark', 'Drummond, Juliana B', 'Levy, Miles', 'McCormack, Ann I', 'Verbalis, Joseph', 'Newell-Price, John', 'Wass, John A H']","['Arima H', 'Cheetham T', 'Christ-Crain M', 'Cooper D', 'Gurnell M', 'Drummond JB', 'Levy M', 'McCormack AI', 'Verbalis J', 'Newell-Price J', 'Wass JAH']",,"['Department of Endocrinology and Diabetes, Nagoya University Graduate School of Medicine, Nagoya 466-8550, Japan.', 'Japan Endocrine Society.', 'Paediatric Endocrinology, Newcastle University, Newcastle upon Tyne, NE1 7RU UK.', ""Paediatric Endocrinology, Great North Children's Hospital (GNCH), Newcastle upon Tyne, NE1 4LP, UK."", 'European Society for Pediatric Endocrinology.', 'Department of Endocrinology, University Hospital Basel, University of Basel, CH-4031 Basel, Switzerland.', 'European Society of Endocrinology.', 'Pituitary Foundation, Bristol BS15BB, UK.', 'European Society of Endocrinology.', ""Wellcome-MRC Institute of Metabolic Science, University of Cambridge & Addenbrooke's Hospital, Cambridge Biomedical Campus, Cambridge, CB2 0QQ, UK."", 'Department of Internal Medicine, School of Medicine, Federal University of Minas Gerais, Belo Horizonte, MG-CEP 31270-901, Brazil.', 'Brazilian Society of Endocrinology and Metabolism.', 'Department of Endocrinology, University Hospitals of Leicester NHS Trust, Leicester, LE3 9QP UK.', 'Society for Endocrinology.', ""Department of Endocrinology, St Vincent's Hospital, Sydney, NSW 2010, Australia."", 'Garvan Institute of Medical Research, Sydney, NSW 2010, Australia.', ""St Vincent's Clinical School, University of New South Wales, Sydney, NSW 2052, Australia."", 'Endocrine Society of Australia.', 'Endocrinology and Metabolism, Georgetown-Howard Universities Center for Clinical and Translational Science, Georgetown University, Washington, DC 20007 USA.', 'Endocrine Society.', 'Endocrine Society.', 'Department of Oncology and Metabolism, The Medical School University of Sheffield, SheffieldS10 2RX, UK.', 'Department of Endocrinology, Oxford Centre for Diabetes Endocrinology & Metabolism - Endocrinology, Oxford OX3 7LE, UK.', 'Pituitary Society.']",['eng'],,['Journal Article'],Japan,Endocr J,Endocrine journal,9313485,['113-79-1 (Arginine Vasopressin)'],IM,"['Humans', '*Arginine Vasopressin/deficiency', '*Diabetes Insipidus/classification', 'Diabetes Mellitus', 'Societies, Medical']",,['NOTNLM'],"['Diabetes insipidus', 'Renaming']",2022/10/17 06:00,2022/11/30 06:00,['2022/10/16 21:23'],"['2022/10/17 06:00 [pubmed]', '2022/11/30 06:00 [medline]', '2022/10/16 21:23 [entrez]']",['10.1507/endocrj.EJ20220831 [doi]'],ppublish,Endocr J. 2022 Nov 28;69(11):1281-1284. doi: 10.1507/endocrj.EJ20220831. Epub 2022 Oct 14.,20221014,,,,,,,['Working Group for Renaming Diabetes Insipidus'],,,,,,
37030477,NLM,MEDLINE,20230628,20230628,1878-8769 (Electronic) 1878-8750 (Linking),175,,2023 Jul,Risk Factors Related to Transient Diabetes Insipidus Development Following Transsphenoidal Pituitary Adenoma Resection: A Multicentric Study.,e636-e643,S1878-8750(23)00474-6 [pii] 10.1016/j.wneu.2023.03.150 [doi],"OBJECTIVE: To analyze and find risk factors associated with developing transient diabetes insipidus (DI) using a multicenter case series after trans-sphenoidal surgery. METHODS: Medical records of patients who underwent trans-sphenoidal surgery for pituitary adenoma resection between 2010 and 2021 at 3 different neurosurgical centers by 4 experienced neurosurgeons were retrospectively analyzed. The patients were divided into 2 groups (DI group or control group). Logistic regression analysis was conducted to identify risk factors associated with postoperative DI. Univariate logistic regression was performed to identify variables of interest. Covariates with a P value <0.05 were incorporated into multivariate logistic regression models to identify independently associated risk factors for DI. All statistical tests were conducted using RStudio. RESULTS: A total of 344 patients were included; 68% were women, the mean age was 46.5 years, and nonfunctioning adenomas were the most frequent (171, 49.7%). The mean tumor size was 20.3 mm. Covariates associated with postoperative DI were age, female gender, and gross total resection. The multivariable model showed that age (odds ratio [OR] 0.97, CI 0.95-0.99, P = 0.017) and female gender (OR 2.92, CI 1.50-6.03, P = 0.002) remained significant predictors of DI development. Gross total resection was no longer a significant predictor of DI in the multivariable model (OR 1.86, CI 0.99-3.71, P = 0.063), suggesting that this variable may be confounded by other factors. CONCLUSIONS: The independent risk factors for the development of transient DI were female and young patients.",['Copyright (c) 2023 Elsevier Inc. All rights reserved.'],"['Yasuda, Marcos Ezequiel', 'Renedo, Daniela', 'Sosa, Soledad', 'Danilowicz, Karina', 'Recalde, Rodolfo', 'Zaninovich, Roberto', 'Abbati, Santiago Gonzalez', 'Cervio, Andres', 'Giovannini, Sebastian', 'Villalonga, Juan', 'Ulloque-Caamano, Liezel', 'Reddy, Kesava', 'Socolovsky, Mariano', 'Campero, Alvaro']","['Yasuda ME', 'Renedo D', 'Sosa S', 'Danilowicz K', 'Recalde R', 'Zaninovich R', 'Abbati SG', 'Cervio A', 'Giovannini S', 'Villalonga J', 'Ulloque-Caamano L', 'Reddy K', 'Socolovsky M', 'Campero A']",,"['Department of Neurosurgy, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina; Neurosurgery Department, School of Medicine, McMaster University, Hamilton, Canada. Electronic address: ezequielyasuda@gmail.com.', 'Department of Neurosurgery, Yale School of Medicine, New Haven, Connecticut, USA.', 'Endocrinology Department, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.', 'Endocrinology Department, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.', 'Department of Neurosurgy, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.', 'Department of Neurosurgy, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.', 'Department of Neurosurgy, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.', 'Department of Neurosurgery, FLENI, Buenos Aires, Argentina.', 'Department of Neurosurgery, FLENI, Buenos Aires, Argentina.', 'Department of Neurosurgery, LINT, School of Medicine, National University of Tucuman, San Miguel de Tucuman, Argentina.', 'Department of Neurosurgery, LINT, School of Medicine, National University of Tucuman, San Miguel de Tucuman, Argentina.', 'Neurosurgery Department, School of Medicine, McMaster University, Hamilton, Canada.', 'Department of Neurosurgy, Hospital de Clinicas ""Jose de San Martin"", School of Medicine, University of Buenos Aires, Buenos Aires, Argentina.', 'Department of Neurosurgery, LINT, School of Medicine, National University of Tucuman, San Miguel de Tucuman, Argentina.']",['eng'],,"['Journal Article', 'Multicenter Study']",United States,World Neurosurg,World neurosurgery,101528275,,IM,"['Humans', 'Female', 'Middle Aged', 'Male', '*Pituitary Neoplasms/pathology', 'Retrospective Studies', 'Postoperative Complications/epidemiology/etiology', '*Adenoma/pathology', '*Diabetes Insipidus/epidemiology/etiology', 'Risk Factors', 'Treatment Outcome', '*Diabetes Mellitus']",,['NOTNLM'],"['Adenohypophysis', 'Adenoma', 'Arginine vasopressin deficiency', 'Diabetes insipidus', 'ERAS', 'Neurohypophysis', 'Neurosurgery', 'Pituitary neoplasms']",2023/04/09 06:00,2023/06/28 06:42,['2023/04/08 19:27'],"['2023/03/27 00:00 [received]', '2023/03/30 00:00 [revised]', '2023/03/31 00:00 [accepted]', '2023/06/28 06:42 [medline]', '2023/04/09 06:00 [pubmed]', '2023/04/08 19:27 [entrez]']","['S1878-8750(23)00474-6 [pii]', '10.1016/j.wneu.2023.03.150 [doi]']",ppublish,World Neurosurg. 2023 Jul;175:e636-e643. doi: 10.1016/j.wneu.2023.03.150. Epub 2023 Apr 7.,20230407,,,,,,,,,,,,,
34906348,NLM,MEDLINE,20220117,20220117,2530-0180 (Electronic) 2530-0180 (Linking),68,9,2021 Nov,In-patient management protocol for diabetes insipidus associated with adipsia. Developed from a clinical case.,668-670,S2530-0180(21)00149-9 [pii] 10.1016/j.endien.2020.09.006 [doi],,,"['Ruiz-Sanchez, Jorge Gabriel', 'Parra Ramirez, Paola', 'Martin Rojas-Marcos, Patricia', 'Lecumberri Santamaria, Beatriz', 'Alvarez Escola, Cristina']","['Ruiz-Sanchez JG', 'Parra Ramirez P', 'Martin Rojas-Marcos P', 'Lecumberri Santamaria B', 'Alvarez Escola C']",,"['Servicio de Endocrinologia y Nutricion, Hospital Clinico San Carlos, Instituto de Investigacion Sanitaria San Carlos (IdISSC), Madrid, Spain. Electronic address: gajo_saru@hotmail.com.', 'Servicio de Endocrinologia y Nutricion, Hospital Universitario La Paz, Madrid, Spain.', 'Servicio de Endocrinologia y Nutricion, Hospital Universitario La Paz, Madrid, Spain.', 'Servicio de Endocrinologia y Nutricion, Hospital Universitario La Paz, Madrid, Spain.', 'Servicio de Endocrinologia y Nutricion, Hospital Universitario La Paz, Madrid, Spain.']",['eng'],,['Case Reports'],Spain,Endocrinol Diabetes Nutr (Engl Ed),"Endocrinologia, diabetes y nutricion",101717565,,IM,"['*Diabetes Insipidus/therapy', '*Diabetes Mellitus', 'Humans', '*Pituitary Neoplasms']",,,,2021/12/16 06:00,2022/01/18 06:00,['2021/12/15 05:52'],"['2020/06/13 00:00 [received]', '2020/09/07 00:00 [accepted]', '2021/12/15 05:52 [entrez]', '2021/12/16 06:00 [pubmed]', '2022/01/18 06:00 [medline]']","['S2530-0180(21)00149-9 [pii]', '10.1016/j.endien.2020.09.006 [doi]']",ppublish,Endocrinol Diabetes Nutr (Engl Ed). 2021 Nov;68(9):668-670. doi: 10.1016/j.endien.2020.09.006. Epub 2021 Dec 3.,20211203,,,,,,,,,,,,,
13191976,NLM,MEDLINE,20030501,20220409,0002-9955 (Print) 0002-9955 (Linking),156,4,1954 Sep 25,"Diabetes inspidius, diabetes mellitus, and insulin resistance with histiocytosis.",310-2,,,,"['ROWNTREE, L G', 'POPPITI, R J']","['ROWNTREE LG', 'POPPITI RJ']",,,['eng'],,['Journal Article'],United States,J Am Med Assoc,Journal of the American Medical Association,7507176,"['0 (Insulin)', '0 (Insulins)']",OM,"['*Diabetes Complications', 'Diabetes Insipidus/*complications', '*Diabetes Insipidus, Neurogenic', '*Diabetes Mellitus', '*Disease', '*Histiocytosis', 'Humans', '*Insulin', '*Insulin Resistance', '*Insulins', '*Mononuclear Phagocyte System']",,['NLM'],"['*DIABETES INSIPIDUS/complications', '*DIABETES MELLITUS/complications', '*INSULIN/resistance and sensitivity', '*RETICULOENDOTHELIAL SYSTEM/diseases']",1954/09/25 00:00,1954/09/25 00:01,['1954/09/25 00:00'],"['1954/09/25 00:00 [pubmed]', '1954/09/25 00:01 [medline]', '1954/09/25 00:00 [entrez]']",['10.1001/jama.1954.02950040016005 [doi]'],ppublish,J Am Med Assoc. 1954 Sep 25;156(4):310-2. doi: 10.1001/jama.1954.02950040016005.,,,,,['CLML: 5527:3556:137:138:241:402'],,,,,,,,,
35292721,NLM,MEDLINE,20220504,20221022,2045-2322 (Electronic) 2045-2322 (Linking),12,1,2022 Mar 15,Studies on anti-rabphilin-3A antibodies in 15 consecutive patients presenting with central diabetes insipidus at a single referral center.,4440,10.1038/s41598-022-08552-y [doi] 4440,"Central diabetes insipidus (CDI) is a rare condition caused by various underlying diseases including inflammatory and autoimmune diseases, and neoplasms. Obtaining an accurate definitive diagnosis of the underlying cause of CDI is difficult. Recently, anti-rabphilin-3A antibodies were demonstrated to be a highly sensitive and specific marker of lymphocytic infundibuloneurohypophysitis (LINH). Here, we report a detailed case series, and evaluated the significance of anti-rabphilin-3A antibodies in differentiating the etiologies of CDI. A prospective analysis was conducted in 15 consecutive patients with CDI from 2013 to 2020 at a single referral center. Anti-rabphilin-3A antibodies were measured and the relationship between antibody positivity and the clinical/histopathological diagnoses was evaluated. Among 15 CDI patients, the positive anti-rabphilin-3A antibodies were found in 4 of 5 LINH cases, 3 of 4 lymphocytic panhypophysitis (LPH) cases, one of 2 sarcoidosis cases, and one intracranial germinoma case, respectively. Two Rathke cleft cyst cases and one craniopharyngioma case were negative. This is the first report of anti-rabphilin-3A antibodies positivity in CDI patients with biopsy-proven LPH. Measurement of anti-rabphilin-3A antibodies may be valuable for differentiating CDI etiologies.",['(c) 2022. The Author(s).'],"['Arihara, Zenei', 'Sakurai, Kanako', 'Niitsuma, Satsuki', 'Sato, Ryota', 'Yamada, Shozo', 'Inoshita, Naoko', 'Iwata, Naoko', 'Fujisawa, Haruki', 'Watanabe, Takashi', 'Suzuki, Atsushi', 'Takahashi, Kazuhiro', 'Sugimura, Yoshihisa']","['Arihara Z', 'Sakurai K', 'Niitsuma S', 'Sato R', 'Yamada S', 'Inoshita N', 'Iwata N', 'Fujisawa H', 'Watanabe T', 'Suzuki A', 'Takahashi K', 'Sugimura Y']",,"['Department of Endocrinology and Metabolism, National Hospital Organization, Sendai Medical Center, Sendai, Miyagi, 983-8520, Japan. arihara-zen@umin.ac.jp.', 'Department of Endocrinology and Metabolism, National Hospital Organization, Sendai Medical Center, Sendai, Miyagi, 983-8520, Japan.', 'Department of Endocrinology and Metabolism, National Hospital Organization, Sendai Medical Center, Sendai, Miyagi, 983-8520, Japan.', 'Department of Endocrinology and Metabolism, National Hospital Organization, Sendai Medical Center, Sendai, Miyagi, 983-8520, Japan.', 'Hypothalamic and Pituitary Center, Moriyama Neurological Center Hospital, Edogawa, Tokyo, 134-0081, Japan.', 'Department of Pathology, Tokyo Metropolitan Geriatric Hospital, Itabashi, Tokyo, 173-0015, Japan.', 'Department of Endocrinology and Diabetes, Daido Hospital, Nagoya, Aichi, 457-8511, Japan.', 'Department of Endocrinology, Diabetes and Metabolism, Fujita Health University, Toyoake, Aichi, 470-1192, Japan.', 'Department of Endocrinology, Diabetes and Metabolism, Fujita Health University, Toyoake, Aichi, 470-1192, Japan.', 'Department of Biochemistry, Fujita Health University, Toyoake, Aichi, 470-1192, Japan.', 'Department of Endocrinology, Diabetes and Metabolism, Fujita Health University, Toyoake, Aichi, 470-1192, Japan.', 'Department of Endocrinology and Applied Medical Science, Tohoku University Graduate School of Medicine, Sendai, Miyagi, 980-8585, Japan.', 'Department of Endocrinology, Diabetes and Metabolism, Fujita Health University, Toyoake, Aichi, 470-1192, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Sci Rep,Scientific reports,101563288,,IM,"['*Autoimmune Diseases/complications', '*Autoimmune Hypophysitis', '*Diabetes Insipidus, Neurogenic/diagnosis/etiology', '*Diabetes Mellitus', 'Female', 'Humans', 'Male', 'Referral and Consultation', '*Sarcoidosis/complications']",PMC8924241,,,2022/03/17 06:00,2022/05/06 06:00,['2022/03/16 05:56'],"['2021/06/16 00:00 [received]', '2022/03/09 00:00 [accepted]', '2022/03/16 05:56 [entrez]', '2022/03/17 06:00 [pubmed]', '2022/05/06 06:00 [medline]']","['10.1038/s41598-022-08552-y [pii]', '8552 [pii]', '10.1038/s41598-022-08552-y [doi]']",epublish,Sci Rep. 2022 Mar 15;12(1):4440. doi: 10.1038/s41598-022-08552-y.,20220315,['The authors declare no competing interests.'],,,,,,,,,,,,
