PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,COIS,AUID,RN,EIN,CIN,RF,GR,CON,TT,MID,CN,OID,FIR,IR,GN,PS,FPS
31632404,NLM,MEDLINE,20201030,20210110,1664-3224 (Electronic) 1664-3224 (Linking),10,,2019,Syrian Hamster as an Animal Model for the Study on Infectious Diseases.,2329,10.3389/fimmu.2019.02329 [doi] 2329,"Infectious diseases still remain one of the biggest challenges for human health. In order to gain a better understanding of the pathogenesis of infectious diseases and develop effective diagnostic tools, therapeutic agents, and preventive vaccines, a suitable animal model which can represent the characteristics of infectious is required. The Syrian hamster immune responses to infectious pathogens are similar to humans and as such, this model is advantageous for studying pathogenesis of infection including post-bacterial, viral and parasitic pathogens, along with assessing the efficacy and interactions of medications and vaccines for those pathogens. This review summarizes the current status of Syrian hamster models and their use for understanding the underlying mechanisms of pathogen infection, in addition to their use as a drug discovery platform and provides a strong rationale for the selection of Syrian hamster as animal models in biomedical research. The challenges of using Syrian hamster as an alternative animal model for the research of infectious diseases are also addressed.","['Copyright (c) 2019 Miao, Chard, Wang and Wang.']","['Miao, Jinxin', 'Chard, Louisa S', 'Wang, Zhimin', 'Wang, Yaohe']","['Miao J', 'Chard LS', 'Wang Z', 'Wang Y']","['Department of Science and Technology, Henan University of Chinese Medicine, Zhengzhou, China.', 'Sino-British Research Center for Molecular Oncology, National Center for the International Research in Cell and Gene Therapy, School of Basic Sciences, Academy of Medical Sciences, Zhengzhou University, Zhengzhou, China.', 'Centre for Molecular Oncology, Barts Cancer Institute, Queen Mary University of London, London, United Kingdom.', 'Sino-British Research Center for Molecular Oncology, National Center for the International Research in Cell and Gene Therapy, School of Basic Sciences, Academy of Medical Sciences, Zhengzhou University, Zhengzhou, China.', 'Sino-British Research Center for Molecular Oncology, National Center for the International Research in Cell and Gene Therapy, School of Basic Sciences, Academy of Medical Sciences, Zhengzhou University, Zhengzhou, China.', 'Centre for Molecular Oncology, Barts Cancer Institute, Queen Mary University of London, London, United Kingdom.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",20191001,Switzerland,Front Immunol,Frontiers in immunology,101560960,IM,"['Animals', 'Communicable Diseases/diagnosis/*etiology/therapy', 'Cricetinae', 'Disease Models, Animal', 'Disease Susceptibility', 'Host-Parasite Interactions', 'Host-Pathogen Interactions', 'Research']",PMC6781508,['NOTNLM'],"['Syrian hamster', 'biomedical research', 'drug discovery', 'infection mechanism', 'infectious diseases']",2019/10/22 06:00,2020/10/31 06:00,['2019/10/22 06:00'],"['2019/03/01 00:00 [received]', '2019/09/16 00:00 [accepted]', '2019/10/22 06:00 [entrez]', '2019/10/22 06:00 [pubmed]', '2020/10/31 06:00 [medline]']",['10.3389/fimmu.2019.02329 [doi]'],epublish,Front Immunol. 2019 Oct 1;10:2329. doi: 10.3389/fimmu.2019.02329. eCollection 2019.,,,,,,,"['MR/M015696/1/MRC_/Medical Research Council/United Kingdom', 'MR/N027655/1/MRC_/Medical Research Council/United Kingdom']",,,,,,,,,,
20621213,NLM,MEDLINE,20100812,20100712,1557-8194 (Electronic) 0011-5029 (Linking),56,7,2010 Jul,Infectious diseases in the athlete: an overview.,404-6,10.1016/j.disamonth.2010.03.002 [doi],,,"['Decker, Catherine F']",['Decker CF'],"['Uniformed Services University of the Health Sciences, Division of Infectious Diseases, Department of Internal Medicine, National Naval Medical Center, Bethesda, Maryland, USA.']",['eng'],"['Journal Article', 'Review']",,United States,Dis Mon,Disease-a-month : DM,0370657,IM,"['*Athletes', 'Communicable Disease Control/*organization & administration', 'Communicable Diseases/*diagnosis/therapy/*transmission', 'Humans', '*Sports']",,,,2010/07/14 06:00,2010/08/13 06:00,['2010/07/13 06:00'],"['2010/07/13 06:00 [entrez]', '2010/07/14 06:00 [pubmed]', '2010/08/13 06:00 [medline]']","['S0011-5029(10)00041-6 [pii]', '10.1016/j.disamonth.2010.03.002 [doi]']",ppublish,Dis Mon. 2010 Jul;56(7):404-6. doi: 10.1016/j.disamonth.2010.03.002.,,,,,,9,,,,,,,,,,,
35283327,NLM,MEDLINE,20220426,20220601,1095-9130 (Electronic) 1046-2023 (Linking),201,,2022 May,Digital PCR: Methods and applications in infectious diseases.,1-4,S1046-2023(22)00063-9 [pii] 10.1016/j.ymeth.2022.02.008 [doi],,,"['Long, Samuel']",['Long S'],,['eng'],['Editorial'],20220310,United States,Methods,"Methods (San Diego, Calif.)",9426302,IM,"['*Communicable Diseases/diagnosis/genetics', 'Humans', 'Polymerase Chain Reaction']",,,,2022/03/15 06:00,2022/04/27 06:00,['2022/03/14 05:43'],"['2022/03/15 06:00 [pubmed]', '2022/04/27 06:00 [medline]', '2022/03/14 05:43 [entrez]']","['S1046-2023(22)00063-9 [pii]', '10.1016/j.ymeth.2022.02.008 [doi]']",ppublish,Methods. 2022 May;201:1-4. doi: 10.1016/j.ymeth.2022.02.008. Epub 2022 Mar 10.,,,,,,,,,,,,,,,,,
26017093,NLM,MEDLINE,20160307,20150611,1756-591X (Electronic) 1756-5901 (Linking),7,6,2015 Jun,Metals in infectious diseases and nutritional immunity.,926-8,10.1039/c5mt90021b [doi],,,"['Skaar, Eric P', 'Raffatellu, Manuela']","['Skaar EP', 'Raffatellu M']","['School of Medicine, Vanderbilt University, USA. eric.skaar@vanderbilt.edu.']",['eng'],"['Editorial', 'Introductory Journal Article']",,England,Metallomics,Metallomics : integrated biometal science,101478346,IM,"['Animals', 'Bacteria/metabolism', 'Communicable Diseases/*metabolism/microbiology', 'Humans', '*Immunity', 'Metals/*metabolism', '*Nutritional Physiological Phenomena']",,,,2015/05/29 06:00,2016/03/08 06:00,['2015/05/29 06:00'],"['2015/05/29 06:00 [entrez]', '2015/05/29 06:00 [pubmed]', '2016/03/08 06:00 [medline]']",['10.1039/c5mt90021b [doi]'],ppublish,Metallomics. 2015 Jun;7(6):926-8. doi: 10.1039/c5mt90021b.,,,['0 (Metals)'],,,,,,,,,,,,,,
25064610,NLM,MEDLINE,20150716,20211021,1432-1831 (Electronic) 0300-8584 (Linking),203,6,2014 Dec,Vaccination against infectious diseases: what is promising?,365-71,10.1007/s00430-014-0346-1 [doi],"Vaccination has proven to be one of the best weapons protecting the mankind against infectious diseases. Along with the huge progress in microbiology, numerous highly efficacious and safe vaccines have been produced by conventional technology (cultivation), by the use of molecular biology (genetic modification), or by synthetic chemistry. Sterilising prevention is achieved by the stimulation of antibody production, while the stimulation of cell-mediated immune responses may prevent the outbreak of disease in consequence of an acute or reactivated infection. From several examples, two rules are deduced to evaluate the perspectives of future vaccine developments: They are promising, if (1) the natural infectious disease induces immunity or (2) passive immunisation (transfer of antibodies, adoptive transfer of lymphocytes) is successful in preventing infection.",,"['Doerr, Hans Wilhelm', 'Berger, Annemarie']","['Doerr HW', 'Berger A']","['Institute for Medical Virology, University Hospital Frankfurt, Goethe University, Paul-Ehrlich-Str. 40, 60596, Frankfurt/M., Germany, H.W.Doerr@em.uni-frankfurt.de.']",['eng'],"['Journal Article', 'Review']",20140727,Germany,Med Microbiol Immunol,Medical microbiology and immunology,0314524,IM,"['Communicable Diseases/*epidemiology/immunology/therapy/*transmission', 'Disease Transmission, Infectious/*prevention & control', 'Humans', 'Immunization, Passive/*methods', '*Vaccination']",,,,2014/07/30 06:00,2015/07/17 06:00,['2014/07/28 06:00'],"['2014/05/06 00:00 [received]', '2014/06/10 00:00 [accepted]', '2014/07/28 06:00 [entrez]', '2014/07/30 06:00 [pubmed]', '2015/07/17 06:00 [medline]']",['10.1007/s00430-014-0346-1 [doi]'],ppublish,Med Microbiol Immunol. 2014 Dec;203(6):365-71. doi: 10.1007/s00430-014-0346-1. Epub 2014 Jul 27.,,,,,,,,,,,,,,,,,
36193748,NLM,MEDLINE,20221108,20230320,1708-8305 (Electronic) 1195-1982 (Linking),29,7,2022 Nov 4,Improving screening and treatment for infectious diseases in migrant populations.,,taac115 [pii] 10.1093/jtm/taac115 [doi],,,"['Greenaway, Christina', 'Hargreaves, Sally']","['Greenaway C', 'Hargreaves S']","['Division of Infectious Disease, Jewish General Hospital, Montreal, H3T1E2 Quebec, Canada.', 'Centre for Clinical Epidemiology, Lady Davis Institute, Jewish General Hospital, Montreal, H3T 1E2 Quebec, Canada.', 'Department of Medicine, McGill University, Montreal, H3G Quebec, Canada.', ""Centre for Global Health, Institute for Infection and Immunity, St George's University of London, UK.""]",['eng'],['Editorial'],,England,J Travel Med,Journal of travel medicine,9434456,IM,"['Humans', '*Transients and Migrants', '*Communicable Diseases/diagnosis/epidemiology', 'Mass Screening']",,['NOTNLM'],"['Migrant health', 'health disparities', 'infectious diseases', 'screening']",2022/10/05 06:00,2022/11/09 06:00,['2022/10/04 05:03'],"['2022/09/22 00:00 [received]', '2022/09/23 00:00 [accepted]', '2022/10/05 06:00 [pubmed]', '2022/11/09 06:00 [medline]', '2022/10/04 05:03 [entrez]']","['6747787 [pii]', '10.1093/jtm/taac115 [doi]']",ppublish,J Travel Med. 2022 Nov 4;29(7):taac115. doi: 10.1093/jtm/taac115.,,,,,,,,,,,,,,,,,
35810069,NLM,MEDLINE,20220920,20220923,2212-1692 (Electronic) 1875-9572 (Linking),63,5,2022 Sep,Progress in the application of metagenomic next-generation sequencing in pediatric infectious diseases.,445-451,S1875-9572(22)00108-5 [pii] 10.1016/j.pedneo.2022.03.014 [doi],"Infectious diseases are the major cause of children's deaths all over the world. With the development of evidence-based medicine, etiological diagnosis becomes more and more important. Since traditional methods have been unable to meet the needs of diagnosis and treatment, metagenomic next-generation sequencing (mNGS) gradually shows its unique advantages for pathogen diagnosis. This article aimed to introduce the application of mNGS technology in the diagnosis and treatment of neonatal and puerile infectious diseases by providing some examples.","['Copyright (c) 2022 Taiwan Pediatric Association. Published by Elsevier B.V. All', 'rights reserved.']","['Li, Chi', 'Wang, Yajuan']","['Li C', 'Wang Y']","[""Department of Neonatology, Children's Hospital, Capital Institute of Pediatrics, Beijing, China."", ""Department of Neonatology, Children's Hospital, Capital Institute of Pediatrics, Beijing, China. Electronic address: cxswyj@vip.sina.com.""]",['eng'],"['Journal Article', 'Review']",20220527,Singapore,Pediatr Neonatol,Pediatrics and neonatology,101484755,IM,"['Child', '*Communicable Diseases/diagnosis/genetics/therapy', 'High-Throughput Nucleotide Sequencing', 'Humans', 'Infant, Newborn', '*Metagenomics', 'Sensitivity and Specificity']",,['NOTNLM'],"['Infectious disease', 'Pediatric', 'mNGS']",2022/07/10 06:00,2022/09/21 06:00,['2022/07/09 22:05'],"['2021/08/04 00:00 [received]', '2022/02/25 00:00 [revised]', '2022/03/10 00:00 [accepted]', '2022/07/10 06:00 [pubmed]', '2022/09/21 06:00 [medline]', '2022/07/09 22:05 [entrez]']","['S1875-9572(22)00108-5 [pii]', '10.1016/j.pedneo.2022.03.014 [doi]']",ppublish,Pediatr Neonatol. 2022 Sep;63(5):445-451. doi: 10.1016/j.pedneo.2022.03.014. Epub 2022 May 27.,['Declaration of competing interest The authors declare no conflicts of interest.'],,,,,,,,,,,,,,,,
21619464,NLM,MEDLINE,20120120,20161018,1437-4331 (Electronic) 1434-6621 (Linking),49,9,2011 Sep,Genetics of infectious diseases: hidden etiologies and common pathways.,1427-37,10.1515/CCLM.2011.620 [doi],"Since the completion of the human genome sequence, the study of common genetic polymorphisms in complex human diseases has become a main activity of human genetics. Employing genome-wide association studies, hundreds of modest genetic risk factors have been identified. In infectious diseases the identification of common risk factors has been varied and as in other common diseases it seems likely that important genetic risk factors remain to be discovered. Nevertheless, the identification of disease-specific genetic risk factors revealed an unexpected overlap in susceptibility genes of diverse inflammatory and infectious diseases. Analysis of the multi-disease susceptibility genes has allowed the definition of shared key pathways of inflammatory dysregulation and suggested unexpected infectious etiologies for other ""non-infectious"" common diseases.",,"['Orlova, Marianna', 'Di Pietrantonio, Tania', 'Schurr, Erwin']","['Orlova M', 'Di Pietrantonio T', 'Schurr E']","['McGill Centre for the Study of Host Resistance, The Research Institute of the McGill University Health Centre, Montreal, PQ, Canada.']",['eng'],"['Journal Article', 'Review']",20110527,Germany,Clin Chem Lab Med,Clinical chemistry and laboratory medicine,9806306,IM,"['Alleles', 'Animals', 'Communicable Diseases/*etiology/*genetics/microbiology/virology', 'Genome-Wide Association Study', 'Humans', 'Species Specificity']",,,,2011/05/31 06:00,2012/01/21 06:00,['2011/05/31 06:00'],"['2011/05/31 06:00 [entrez]', '2011/05/31 06:00 [pubmed]', '2012/01/21 06:00 [medline]']",['10.1515/CCLM.2011.620 [doi]'],ppublish,Clin Chem Lab Med. 2011 Sep;49(9):1427-37. doi: 10.1515/CCLM.2011.620. Epub 2011 May 27.,,,,,,,,,,,,,,,,,
31833314,NLM,MEDLINE,20200612,20200612,1082-6742 (Print) 1082-6742 (Linking),33,4,2019 Dec 9,Infectious Diseases in Avian Medicine.,440-442,10.1647/1082-6742-33.4.440 [doi],,,,,,['eng'],['Interview'],,United States,J Avian Med Surg,Journal of avian medicine and surgery,9512497,IM,"['Animals', 'Bird Diseases/*epidemiology/microbiology/parasitology', 'Communicable Diseases/epidemiology/microbiology/parasitology/*veterinary', 'United States/epidemiology']",,,,2019/12/14 06:00,2020/06/13 06:00,['2019/12/14 06:00'],"['2019/12/14 06:00 [entrez]', '2019/12/14 06:00 [pubmed]', '2020/06/13 06:00 [medline]']",['10.1647/1082-6742-33.4.440 [doi]'],ppublish,J Avian Med Surg. 2019 Dec 9;33(4):440-442. doi: 10.1647/1082-6742-33.4.440.,,,,,,,,,,,,,,,,,
32248926,NLM,MEDLINE,20210106,20210106,1532-8228 (Electronic) 0883-9417 (Print) 0883-9417 (Linking),34,2,2020 Apr,The emotional toll of global infectious diseases.,1,S0883-9417(20)30089-3 [pii] 10.1016/j.apnu.2020.02.011 [doi],,,,,,['eng'],['Editorial'],20200225,United States,Arch Psychiatr Nurs,Archives of psychiatric nursing,8708534,IM,"['COVID-19/psychology/*transmission', 'China', '*Communicable Diseases/psychology/transmission/virology', '*Emotions', '*Global Health', 'Health Personnel/psychology', 'Humans', '*Mental Health']",PMC7136941,,,2020/04/07 06:00,2021/01/07 06:00,['2020/04/07 06:00'],"['2020/04/07 06:00 [entrez]', '2020/04/07 06:00 [pubmed]', '2021/01/07 06:00 [medline]']","['S0883-9417(20)30089-3 [pii]', '10.1016/j.apnu.2020.02.011 [doi]']",ppublish,Arch Psychiatr Nurs. 2020 Apr;34(2):1. doi: 10.1016/j.apnu.2020.02.011. Epub 2020 Feb 25.,,,,,,,,,,,,,,,,,
20109040,NLM,MEDLINE,20100630,20100129,1744-8336 (Electronic) 1478-7210 (Linking),8,2,2010 Feb,Pediatric infectious diseases. Foreword.,111-2,10.1586/eri.09.86 [doi],,,"['Schaad, Urs B', 'Shulman, Stanford T']","['Schaad UB', 'Shulman ST']","[""Department of Pediatrics, University Children's Hospital, PO Box CH-4005 Basel, Switzerland. urs-b.schaad@unibas.ch""]",['eng'],['Introductory Journal Article'],,England,Expert Rev Anti Infect Ther,Expert review of anti-infective therapy,101181284,IM,"['Communicable Disease Control', 'Communicable Diseases/*epidemiology/immunology/therapy', 'Humans', 'Pediatrics/trends']",,,,2010/01/30 06:00,2010/07/01 06:00,['2010/01/30 06:00'],"['2010/01/30 06:00 [entrez]', '2010/01/30 06:00 [pubmed]', '2010/07/01 06:00 [medline]']",['10.1586/eri.09.86 [doi]'],ppublish,Expert Rev Anti Infect Ther. 2010 Feb;8(2):111-2. doi: 10.1586/eri.09.86.,,,,,,,,,,,,,,,,,
18428383,NLM,MEDLINE,20080808,20161021,1934-8258 (Electronic) 1934-8258 (Linking),Chapter 9,,2005 Nov,Infectious diseases testing.,Unit 9.18,10.1002/0471142905.hg0918s47 [doi],"Molecular methods have been applied widely for the diagnosis of infectious diseases. Beginning with solution hybridization in the early 1990s, multiple methods for nucleic acid hybridization and amplification have been introduced into the laboratory for the identification and characterization of microbial pathogens. This unit contains examples of several basic approaches for microbial detection or characterization in the laboratory. Methods in this chapter include automated nucleic acid extraction, direct detection of microbial pathogens, and characterization of pathogens by DNA sequencing or typing. Any of these methods could be customized for the characterization of bacteria, fungi, parasites, or viruses.",,"['Blakey, Gregory L', 'Luna, Ruth Ann', 'Versalovic, James']","['Blakey GL', 'Luna RA', 'Versalovic J']","['Baylor College of Medicine, Houston, Texas, USA.']",['eng'],['Journal Article'],,United States,Curr Protoc Hum Genet,Current protocols in human genetics,101287858,IM,"['Communicable Diseases/*diagnosis/genetics', 'Humans', 'Nucleic Acid Hybridization', 'Reverse Transcriptase Polymerase Chain Reaction']",,,,2008/04/23 09:00,2008/08/09 09:00,['2008/04/23 09:00'],"['2008/04/23 09:00 [pubmed]', '2008/08/09 09:00 [medline]', '2008/04/23 09:00 [entrez]']",['10.1002/0471142905.hg0918s47 [doi]'],ppublish,Curr Protoc Hum Genet. 2005 Nov;Chapter 9:Unit 9.18. doi: 10.1002/0471142905.hg0918s47.,,,,,,,,,,,,,,,,,
31005358,NLM,MEDLINE,20191224,20191224,0740-2570 (Print) 0740-2570 (Linking),36,3,2019 May,Introduction: One health and emerging infectious diseases.,143-145,S0740-2570(19)30036-X [pii] 10.1053/j.semdp.2019.04.004 [doi],"Those infectious diseases that have increased in the past two decades or that threaten to emerge are considered emerging infectious diseases. Many of these diseases are acquired through contact with plants, insects and animals. ""One health"" acknowledges the interconnectedness of environment, plant, animal and human health. The introduction to this issue of Seminars in Diagnostic Pathology gives the definition of emerging and reemerging infectious diseases, explores the concept of ""One Health"", explains the evolution of testing for infectious agents as it relates to emerging infections, and considers the difficulties in predicting which and where the next emerging infection will occur.",['Copyright (c) 2019. Published by Elsevier Inc.'],"['Guarner, Jeannette']",['Guarner J'],"['Department of Pathology and Laboratory Medicine, Emory University, 1364 Clifton Rd, Atlanta, GA 30322, United States. Electronic address: jguarne@emory.edu.']",['eng'],['Editorial'],20190416,United States,Semin Diagn Pathol,Seminars in diagnostic pathology,8502262,IM,"['Communicable Diseases, Emerging/*diagnosis/pathology', 'Humans', '*One Health']",,,,2019/04/22 06:00,2019/12/25 06:00,['2019/04/22 06:00'],"['2019/04/22 06:00 [pubmed]', '2019/12/25 06:00 [medline]', '2019/04/22 06:00 [entrez]']","['S0740-2570(19)30036-X [pii]', '10.1053/j.semdp.2019.04.004 [doi]']",ppublish,Semin Diagn Pathol. 2019 May;36(3):143-145. doi: 10.1053/j.semdp.2019.04.004. Epub 2019 Apr 16.,,,,,,,,,,,,,,,,,
23022814,NLM,MEDLINE,20130205,20121001,2008-6520 (Print) 2008-6520 (Linking),2,1,2011 Jan,Global climate change and infectious diseases.,11-9,,"Climate change is occurring as a result of warming of the earth's atmosphere due to human activity generating excess amounts of greenhouse gases. Because of its potential impact on the hydrologic cycle and severe weather events, climate change is expected to have an enormous effect on human health, including on the burden and distribution of many infectious diseases. The infectious diseases that will be most affected by climate change include those that are spread by insect vectors and by contaminated water. The burden of adverse health effects due to these infectious diseases will fall primarily on developing countries, while it is the developed countries that are primarily responsible for climate change. It is up to governments and individuals to take the lead in halting climate change, and we must increase our understanding of the ecology of infectious diseases in order to protect vulnerable populations.",,"['Shuman, E K']",['Shuman EK'],"['Division of Infectious Diseases, Department of Internal Medicine, University of Michigan, Ann Arbor, USA. emilyks@umich.edu']",['eng'],"['Journal Article', 'Review']",,Iran,Int J Occup Environ Med,The international journal of occupational and environmental medicine,101535763,IM,"['Animals', 'Communicable Diseases/*etiology/transmission', 'Disease Vectors', 'Geography, Medical', '*Global Warming', '*Greenhouse Effect', 'Humans']",,,,2011/01/01 00:00,2013/02/06 06:00,['2012/10/02 06:00'],"['2012/10/02 06:00 [entrez]', '2011/01/01 00:00 [pubmed]', '2013/02/06 06:00 [medline]']",['65 [pii]'],ppublish,Int J Occup Environ Med. 2011 Jan;2(1):11-9.,,,,,,,,,,,,,,,,,
25516192,NLM,MEDLINE,20160106,20220330,1537-6591 (Electronic) 1058-4838 (Linking),60,7,2015 Apr 1,Use of telemedicine technologies in the management of infectious diseases: a review.,1084-94,10.1093/cid/ciu1143 [doi],"Telemedicine technologies are rapidly being integrated into infectious diseases programs with the aim of increasing access to infectious diseases specialty care for isolated populations and reducing costs. We summarize the utility and effectiveness of telemedicine in the evaluation and treatment of infectious diseases patients. The use of telemedicine in the management of acute infectious diseases, chronic hepatitis C, human immunodeficiency virus, and active pulmonary tuberculosis is considered. We recapitulate and evaluate the advantages of telemedicine described in other studies, present challenges to adopting telemedicine, and identify future opportunities for the use of telemedicine within the realm of clinical infectious diseases.","['(c) The Author 2014. Published by Oxford University Press on behalf of the', 'Infectious Diseases Society of America. All rights reserved. For Permissions,', 'please e-mail: journals.permissions@oup.com.']","['Parmar, Parmvir', 'Mackie, David', 'Varghese, Sunil', 'Cooper, Curtis']","['Parmar P', 'Mackie D', 'Varghese S', 'Cooper C']","['Faculty of Medicine, University of Ottawa.', 'Ottawa Hospital and Regional Viral Hepatitis Telemedicine Program.', 'Ottawa Hospital and Regional Viral Hepatitis Telemedicine Program.', 'Faculty of Medicine, University of Ottawa Ottawa Hospital and Regional Viral Hepatitis Telemedicine Program Division of Infectious Diseases, Department of Medicine, University of Ottawa, Ontario, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20141216,United States,Clin Infect Dis,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,9203213,IM,"['Communicable Diseases/*diagnosis/*therapy', 'Humans', 'Telemedicine/*methods']",,['NOTNLM'],"['HIV', 'hepatitis C virus', 'infectious diseases', 'telemedicine', 'tuberculosis']",2014/12/18 06:00,2016/01/07 06:00,['2014/12/18 06:00'],"['2014/12/18 06:00 [entrez]', '2014/12/18 06:00 [pubmed]', '2016/01/07 06:00 [medline]']","['ciu1143 [pii]', '10.1093/cid/ciu1143 [doi]']",ppublish,Clin Infect Dis. 2015 Apr 1;60(7):1084-94. doi: 10.1093/cid/ciu1143. Epub 2014 Dec 16.,,,,,,,,,,,,,,,,,
16389254,NLM,MEDLINE,20060111,20190619,1539-3704 (Electronic) 0003-4819 (Linking),144,1,2006 Jan 3,Update in infectious diseases.,49-56,,,,"['Bartlett, John G']",['Bartlett JG'],"['Division of Infectious Diseases, Department of Medicine, Johns Hopkins University School of Medicine, Johns Hopkins Hospital, Baltimore, Maryland 21205-2191, USA. jb@jhmi.edu']",['eng'],"['Journal Article', 'Review']",,United States,Ann Intern Med,Annals of internal medicine,0372351,IM,"['Communicable Disease Control', '*Communicable Diseases/diagnosis/drug therapy/transmission', 'Humans']",,,,2006/01/04 09:00,2006/01/13 09:00,['2006/01/04 09:00'],"['2006/01/04 09:00 [pubmed]', '2006/01/13 09:00 [medline]', '2006/01/04 09:00 [entrez]']","['144/1/49 [pii]', '10.7326/0003-4819-144-1-200601030-00009 [doi]']",ppublish,Ann Intern Med. 2006 Jan 3;144(1):49-56. doi: 10.7326/0003-4819-144-1-200601030-00009.,,,,['Ann Intern Med. 2006 May 2;144(9):704'],,10,,,,,,,,,,,
12484713,NLM,MEDLINE,20021226,20190619,1539-3704 (Electronic) 0003-4819 (Linking),137,12,2002 Dec 17,Update in infectious diseases.,974-80,,,,"['Lorber, Bennett']",['Lorber B'],"['Section of Infectious Diseases, Temple University Hospital, Philadelphia, Pennsylvania 19140, USA. lorberb@tuhs.temple.edu']",['eng'],"['Journal Article', 'Review']",,United States,Ann Intern Med,Annals of internal medicine,0372351,IM,"['Bioterrorism', 'Communicable Disease Control', '*Communicable Diseases/diagnosis/drug therapy/epidemiology', 'Humans', 'Public Health', 'United States/epidemiology']",,,,2002/12/18 04:00,2002/12/27 04:00,['2002/12/18 04:00'],"['2002/12/18 04:00 [pubmed]', '2002/12/27 04:00 [medline]', '2002/12/18 04:00 [entrez]']","['200212170-00011 [pii]', '10.7326/0003-4819-137-12-200212170-00011 [doi]']",ppublish,Ann Intern Med. 2002 Dec 17;137(12):974-80. doi: 10.7326/0003-4819-137-12-200212170-00011.,,,,,,7,,,,,,,,,,,
15583230,NLM,MEDLINE,20041221,20190619,1539-3704 (Electronic) 0003-4819 (Linking),141,11,2004 Dec 7,Update in infectious diseases.,875-81,,,,"['Lorber, Bennett']",['Lorber B'],"['Department of Medicine, Temple University School of Medicine and Temple University Hospital, Philadelphia, Pennsylvania 19140, USA. lorberb@tuhs.temple.edu']",['eng'],"['Journal Article', 'Review']",,United States,Ann Intern Med,Annals of internal medicine,0372351,IM,"['*Communicable Diseases/epidemiology/therapy/transmission', 'Humans']",,,,2004/12/08 09:00,2004/12/22 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2004/12/22 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['141/11/875 [pii]', '10.7326/0003-4819-141-11-200412070-00012 [doi]']",ppublish,Ann Intern Med. 2004 Dec 7;141(11):875-81. doi: 10.7326/0003-4819-141-11-200412070-00012.,,,,,,0,,,,,,,,,,,
23327385,NLM,MEDLINE,20160329,20181023,2219-0635 (Electronic) 0030-2465 (Linking),79,2,2012 Jul 19,'One Health' infectious diseases surveillance in Tanzania: are we all on board the same flight?,500,10.4102/ojvr.v79i2.500 [doi],"Infectious diseases account for nearly 40% of the burden of human mortality and morbidity in low-income countries, of which 7% is attributable to zoonoses and 13% to recently emerging diseases from animals. One of the strategic approaches for effective surveillance, monitoring and control of infectious diseases compromising health in both humans and animals could be through a combination of multiple disciplines. The approach can be achieved through a joint effort from stakeholders comprising health professionals (medical and veterinary), social, economic, agricultural, environmental and other interested parties. With resource scarcity in terms of number of staff, skills and facility in low-income countries, participatory multi- sectoral and multidisciplinary approaches in limiting the burden of zoonotic diseases could be worthwhile. We review challenging issues that may limit the 'One Health' approach for infectious diseases surveillance in Tanzania with a focus on Health Policy and how best the human and animal health systems could be complemented or linked to suit the community in need for disease control under the theme's context.",,"['Mbugi, Erasto V', 'Kayunze, Kim A', 'Katale, Bugwesa Z', 'Kendall, Sharon', 'Good, Liam', 'Kibik, Gibson S', 'Keyyu, Julius D', 'Godfrey-Faussett, Peter', 'Van Helden, Paul', 'Matee, Mecky I']","['Mbugi EV', 'Kayunze KA', 'Katale BZ', 'Kendall S', 'Good L', 'Kibik GS', 'Keyyu JD', 'Godfrey-Faussett P', 'Van Helden P', 'Matee MI']","['Department of Microbiology and Immunology, Muhimbili University of Health and Allied Sciences. erasto.mbugi@sacids.org.']",['eng'],"['Journal Article', 'Review']",20120719,South Africa,Onderstepoort J Vet Res,The Onderstepoort journal of veterinary research,0401107,IM,"['Animals', '*Communicable Disease Control', 'Communicable Diseases/epidemiology/transmission/veterinary', 'Communicable Diseases, Emerging/epidemiology/*prevention & control/transmission/veterinary', 'Humans', '*Sentinel Surveillance/veterinary', 'Tanzania', '*Zoonoses']",,,,2013/01/19 06:00,2016/03/30 06:00,['2013/01/19 06:00'],"['2012/07/01 00:00 [received]', '2012/07/01 00:00 [accepted]', '2013/01/19 06:00 [entrez]', '2013/01/19 06:00 [pubmed]', '2016/03/30 06:00 [medline]']",['10.4102/ojvr.v79i2.500 [doi]'],epublish,Onderstepoort J Vet Res. 2012 Jul 19;79(2):500. doi: 10.4102/ojvr.v79i2.500.,,,,,,,,,,,,,,,,,
