PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,COIS,TT,DEP,RN,CN,EIN,CIN,SI,AUID,RF,CRF,FIR,IR,CON,PMCR,PS,FPS,OID,RIN,GS
31476157,NLM,MEDLINE,20201105,20201105,1875-8908 (Electronic) 1387-2877 (Print) 1387-2877 (Linking),71,3,2019,Developing Effective Alzheimer's Disease Therapies: Clinical Experience and Future Directions.,715-732,10.3233/JAD-190507 [doi],"Alzheimer's disease (AD) clinical trials, focused on disease modifying drugs and conducted in patients with mild to moderate AD, as well as prodromal (early) AD, have failed to reach efficacy endpoints in improving cognitive function in most cases to date or have been terminated due to adverse events. Drugs that have reached clinical stage were reviewed using web resources (such as clinicaltrials.gov, alzforum.org, company press releases, and peer reviewed literature) to identify late stage (Phase II and Phase III) efficacy clinical trials and summarize reasons for their failure. For each drug, only the latest clinical trials and ongoing trials that aimed at improving cognitive function were included in the analysis. Here we highlight the potential reasons that have hindered clinical success, including clinical trial design and choice of outcome measures, heterogeneity of patient populations, difficulties in diagnosing and staging the disease, drug design, mechanism of action, and toxicity related to the long-term use. We review and suggest approaches for AD clinical trial design aimed at improving our ability to identify novel therapies for this devastating disease.",,"['Elmaleh, David R', 'Farlow, Martin R', 'Conti, Peter S', 'Tompkins, Ronald G', 'Kundakovic, Ljiljana', 'Tanzi, Rudolph E']","['Elmaleh DR', 'Farlow MR', 'Conti PS', 'Tompkins RG', 'Kundakovic L', 'Tanzi RE']","['Department of Radiology, Massachusetts General Hospital, Boston, MA, USA.', 'AZTherapies Inc., Boston, MA, USA.', 'Department of Neurology, Indiana University School of Medicine, Indianapolis, IN, USA.', 'Molecular Imaging Center, Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, USA.', 'Department of Surgery, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.', 'AZTherapies Inc., Boston, MA, USA.', 'Genetics and Aging Research Unit, MassGeneral Institute for Neurodegenerative Diseases (MIND), Department of Neurology, Massachusetts General Hospital and Harvard Medical School, Charlestown, MA, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Aged', 'Aged, 80 and over', 'Alzheimer Disease/diagnosis/psychology/*therapy', 'Biomarkers', 'Cognition', 'Humans', 'Middle Aged']",PMC6839593,,2019/09/03 06:00,2020/11/06 06:00,['2019/09/03 06:00'],"['2019/09/03 06:00 [pubmed]', '2020/11/06 06:00 [medline]', '2019/09/03 06:00 [entrez]']","['JAD190507 [pii]', '10.3233/JAD-190507 [doi]']",ppublish,J Alzheimers Dis. 2019;71(3):715-732. doi: 10.3233/JAD-190507.,['NOTNLM'],"[""Alzheimer's disease"", 'amyloid-beta', 'biomarkers', 'clinical trial design', 'combined modality therapy', 'inflammation', 'selection of subjects', 'tau protein', 'treatment outcomes']","[""Authors' disclosures available online"", '(https://www.j-alz.com/manuscript-disclosures/19-0507r2).']",,,['0 (Biomarkers)'],,,,,,,,,,,,,,,,
36348410,NLM,MEDLINE,20221110,20221211,1758-9193 (Electronic),14,1,2022 Nov 8,Driving assessment in preclinical Alzheimer's disease: progress to date and the path forward.,168,10.1186/s13195-022-01109-1 [doi] 168,"BACKGROUND: Changes in driving behaviour may start at the preclinical stage of Alzheimer's disease (AD), where the underlying AD biological process has begun in the presence of cognitive normality. Here, we summarize the emerging evidence suggesting that preclinical AD may impact everyday driving behaviour. MAIN: Increasing evidence links driving performance and behaviour with AD biomarkers in cognitively intact older adults. These studies have found subtle yet detectable differences in driving associated with AD biomarker status among cognitively intact older adults. CONCLUSION: Recent studies suggest that changes in driving, a highly complex activity, are linked to, and can indicate the presence of, neuropathological AD. Future research must now examine the internal and external validity of driving for widespread use in identifying biological AD.",['(c) 2022. The Author(s).'],"['Bayat, Sayeh', 'Roe, Catherine M']","['Bayat S', 'Roe CM']","['Department of Biomedical Engineering, Schulich School of Engineering, University of Calgary, Room 221, 2500 University Drive NW, Calgary, AB, T2N 1N4, Canada. sayeh.bayat@ucalgary.ca.', 'Department of Geomatics Engineering, Schulich School of Engineering, University of Calgary, Calgary, Canada. sayeh.bayat@ucalgary.ca.', 'Hotchkiss Brain Institute, University of Calgary, Calgary, Canada. sayeh.bayat@ucalgary.ca.', 'Roe Research LLC, St. Louis, MO, USA.']",['eng'],,"['Journal Article', 'Review']",England,Alzheimers Res Ther,Alzheimer's research & therapy,101511643,IM,"['Humans', 'Aged', '*Alzheimer Disease/diagnosis/psychology', 'Biomarkers']",PMC9641948,,2022/11/10 06:00,2022/11/11 06:00,['2022/11/09 00:01'],"['2022/08/06 00:00 [received]', '2022/10/11 00:00 [accepted]', '2022/11/09 00:01 [entrez]', '2022/11/10 06:00 [pubmed]', '2022/11/11 06:00 [medline]']","['10.1186/s13195-022-01109-1 [pii]', '1109 [pii]', '10.1186/s13195-022-01109-1 [doi]']",epublish,Alzheimers Res Ther. 2022 Nov 8;14(1):168. doi: 10.1186/s13195-022-01109-1.,['NOTNLM'],"[""Alzheimer's disease"", 'Automobile driving', 'Biomarker', 'GPS', 'Mobile technology', 'Naturalistic', 'Preclinical']",['The authors declare that they have no competing interests.'],,20221108,['0 (Biomarkers)'],,,,,,,,,,,,,,,,
29562523,NLM,MEDLINE,20190611,20190613,1875-8908 (Electronic) 1387-2877 (Linking),64,s1,2018,Multifactorial Hypothesis and Multi-Targets for Alzheimer's Disease.,S107-S117,10.3233/JAD-179921 [doi],"The amyloid cascade hypothesis has been dominating drug discovery for Alzheimer's disease (AD) for the last two decades. The failure of the development of effective drugs for slowing down or reversing the progression of AD warrants the AD field to consider out-of-the-box thinking and therapeutic approaches. We propose the multifactorial hypothesis of AD, emphasizing that AD is caused by multiple etiological factors, which may result in common brain pathology and functional consequences through several separate but integrated molecular pathways. More than one etiological factor and mechanistic pathway may be involved in a single individual with sporadic AD, and different individuals may have different etiological factors, involving different mechanisms/pathways. We urge the recognition of the multifactorial nature of AD and the paradigm shift of AD drug development from a single target to multiple targets, either with the multitarget-directed ligands approach or the cocktail therapy approach. We believe that patient stratification and the use of the precision medicine model will also benefit AD drug discovery.",,"['Gong, Cheng-Xin', 'Liu, Fei', 'Iqbal, Khalid']","['Gong CX', 'Liu F', 'Iqbal K']","['Department of Neurochemistry, Inge Grundke-Iqbal Research Floor, New York State Institute for Basic Research in Developmental Disabilities, Staten Island, NY, USA.', 'Department of Neurochemistry, Inge Grundke-Iqbal Research Floor, New York State Institute for Basic Research in Developmental Disabilities, Staten Island, NY, USA.', 'Department of Neurochemistry, Inge Grundke-Iqbal Research Floor, New York State Institute for Basic Research in Developmental Disabilities, Staten Island, NY, USA.']",['eng'],,"['Journal Article', 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/*drug therapy/*metabolism', 'Animals', 'Humans', '*Models, Neurological', 'Precision Medicine']",,,2018/03/23 06:00,2019/06/14 06:00,['2018/03/23 06:00'],"['2018/03/23 06:00 [pubmed]', '2019/06/14 06:00 [medline]', '2018/03/23 06:00 [entrez]']","['JAD179921 [pii]', '10.3233/JAD-179921 [doi]']",ppublish,J Alzheimers Dis. 2018;64(s1):S107-S117. doi: 10.3233/JAD-179921.,['NOTNLM'],"[""Alzheimer's disease"", 'cocktail therapy', 'multifactorial hypothesis', 'multitarget-directed ligands', 'patient stratification', 'precision medicine model']",,,,,,,,,,,,,,,,,,,,
22748939,NLM,MEDLINE,20121113,20161209,1552-5279 (Electronic) 1552-5260 (Linking),8,4,2012 Jul,Worldwide Alzheimer's disease neuroimaging initiative.,337-42,10.1016/j.jalz.2012.04.007 [doi],"The Alzheimer's Disease Neuroimaging Initiative (ADNI) was launched in 2003 to speed drug development by validating imaging and blood/cerebrospinal fluid biomarkers for Alzheimer's disease clinical treatment trials. ADNI is a naturalistic (nontreatment) multisite longitudinal study. A true public-private partnership, the first phase of ADNI (ADNI 1) set a new standard for data sharing without embargo. In addition, it has been extended to 2017 by additional funding (North American-ADNI Grand Opportunities and ADNI 2) as well as multiple projects around the world, collectively known as Worldwide ADNI (WW-ADNI). The goal of WW-ADNI is to harmonize projects and results across different geographical sites and to encourage and harmonize data management and availability to investigators around the world. WW-ADNI projects are currently underway in North America, Europe, Japan, Australia, Korea, Taiwan, and Argentina, with a nascent program in China and a possible future program in Brazil.","[""Copyright (c) 2012 The Alzheimer's Association. Published by Elsevier Inc. All"", 'rights reserved.']","['Carrillo, Maria C', 'Bain, Lisa J', 'Frisoni, Giovanni B', 'Weiner, Michael W']","['Carrillo MC', 'Bain LJ', 'Frisoni GB', 'Weiner MW']","[""Medical & Scientific Relations, Alzheimer's Association, Chicago, IL, USA. Maria.Carrillo@alz.org""]",['eng'],['U01-AG024904/AG/NIA NIH HHS/United States'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,101231978,IM,"['Alzheimer Disease/*diagnosis/*epidemiology', 'Brain/*pathology', '*Diagnostic Imaging', '*Global Health', 'Humans']",,,2012/07/04 06:00,2012/11/14 06:00,['2012/07/04 06:00'],"['2012/03/12 00:00 [received]', '2012/04/02 00:00 [accepted]', '2012/07/04 06:00 [entrez]', '2012/07/04 06:00 [pubmed]', '2012/11/14 06:00 [medline]']","['S1552-5260(12)01749-9 [pii]', '10.1016/j.jalz.2012.04.007 [doi]']",ppublish,Alzheimers Dement. 2012 Jul;8(4):337-42. doi: 10.1016/j.jalz.2012.04.007.,,,,,,,,,,,,,,,,,,,,,,
28505974,NLM,MEDLINE,20180321,20220318,1875-8908 (Electronic) 1387-2877 (Linking),58,3,2017,State of Play in Alzheimer's Disease Genetics.,631-659,10.3233/JAD-170062 [doi],"Alzheimer's disease (AD), the main form of dementia in the elderly, is the most common progressive neurodegenerative disease characterized by rapidly progressive cognitive dysfunction and behavior impairment. AD exhibits a considerable heritability and great advances have been made in approaches to searching the genetic etiology of AD. In AD genetic studies, methods have developed from classic linkage-based and candidate-gene-based association studies to genome-wide association studies (GWAS) and next generation sequencing (NGS). The identification of new susceptibility genes has provided deeper insights to understand the mechanisms underlying AD. In addition to searching novel genes associated with AD in large samples, the NGS technologies can also be used to shed light on the 'black matter' discovery even in smaller samples. The shift in AD genetics between traditional studies and individual sequencing will allow biomaterials of each patient as the central unit of genetic studies. This review will cover genetic findings in AD and consequences of AD genetic findings. Firstly, we will discuss the discovery of mutations in APP, PSEN1, PSEN2, APOE, and ADAM10. Then we will summarize and evaluate the information obtained from GWAS of AD. Finally, we will outline the efforts to identify rare variants associated with AD using NGS.",,"['Zhu, Jin-Bao', 'Tan, Chen-Chen', 'Tan, Lan', 'Yu, Jin-Tai']","['Zhu JB', 'Tan CC', 'Tan L', 'Yu JT']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/diagnostic imaging/*genetics/therapy', 'Animals', 'Humans']",,,2017/05/17 06:00,2018/03/22 06:00,['2017/05/17 06:00'],"['2017/05/17 06:00 [pubmed]', '2018/03/22 06:00 [medline]', '2017/05/17 06:00 [entrez]']","['JAD170062 [pii]', '10.3233/JAD-170062 [doi]']",ppublish,J Alzheimers Dis. 2017;58(3):631-659. doi: 10.3233/JAD-170062.,['NOTNLM'],"[""Alzheimer's disease"", 'genetics', 'genome-wide association studies', 'linkage studies', 'next generation sequencing']",,,,,,,,,,,,,,,,,,,,
35871354,NLM,MEDLINE,20221130,20221210,1875-8908 (Electronic) 1387-2877 (Linking),90,3,2022,Alzheimer's Disease: Risk Tests and the Medical Record.,997-999,10.3233/JAD-220584 [doi],"Although the medical record is the centerpiece of modern medical care, its usefulness is diminished by the reluctance of people to disclose important health information, such as a higher risk for Alzheimer's disease, to their doctors. Steps should be taken now to ensure that the medical record, the repository of one's health information, can continue to serve the needs of the medical community and of patients.",,"['Zallen, Doris T']",['Zallen DT'],"['Department of Science, Technology, and Society, Virginia Tech, Blacksburg, VA, USA.']",['eng'],,['Journal Article'],Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Humans', '*Alzheimer Disease/diagnosis/epidemiology', 'Medical Records']",,,2022/07/25 06:00,2022/12/01 06:00,['2022/07/24 10:01'],"['2022/07/25 06:00 [pubmed]', '2022/12/01 06:00 [medline]', '2022/07/24 10:01 [entrez]']","['JAD220584 [pii]', '10.3233/JAD-220584 [doi]']",ppublish,J Alzheimers Dis. 2022;90(3):997-999. doi: 10.3233/JAD-220584.,['NOTNLM'],"['APOE', 'biomarkers', 'jurisprudence', 'medical records electronic']",,,,,,,,,,,,,,,,,,,,
34569958,NLM,MEDLINE,20220106,20220106,1875-8908 (Electronic) 1387-2877 (Linking),84,2,2021,The NLRP3 Inflammasome in the Pathogenesis and Treatment of Alzheimer's Disease.,579-598,10.3233/JAD-210660 [doi],"Alzheimer's disease (AD) is the most common form of dementia. Although AD is one of the most socioeconomically devastating diseases confronting humanity, no ""curative"" disease modifying drug has been identified. Recent decades have witnessed repeated failures of drug trials and have called into question the utility of the amyloid hypothesis approach to AD therapeutics design. Accordingly, new neurochemical processes are being evaluated and explored as sources of alternative druggable targets. Among these newly identified targets, neuroinflammation is emerging as a front-runner, and within the realm of neuroinflammation, the inflammasome, particularly the NLRP3 complex, is garnering focussed attention. This review summarizes current data and approaches to understanding the role of the NLRP3 inflammasome in neuroinflammation and AD, and systematically identifies and evaluates multiple targets within the NLRP3 inflammasome cascade as putative drug targets.",,"['Golzari-Sorkheh, Mahdieh', 'Brown, Carla E', 'Weaver, Donald F', 'Reed, Mark A']","['Golzari-Sorkheh M', 'Brown CE', 'Weaver DF', 'Reed MA']","['Department of Pharmacology and Toxicology, University of Toronto, Toronto, ON, Canada.', 'Krembil Research Institute, Toronto, ON, Canada.', 'Krembil Research Institute, Toronto, ON, Canada.', 'Department of Chemistry, University of Toronto, Toronto, ON, Canada.', 'Department of Pharmaceutical Sciences, University of Toronto, Toronto, ON, Canada.', 'Department of Pharmacology and Toxicology, University of Toronto, Toronto, ON, Canada.', 'Krembil Research Institute, Toronto, ON, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['*Alzheimer Disease/drug therapy/pathology', 'Humans', '*Inflammasomes', '*NLR Family, Pyrin Domain-Containing 3 Protein']",,,2021/09/28 06:00,2022/01/07 06:00,['2021/09/27 12:20'],"['2021/09/28 06:00 [pubmed]', '2022/01/07 06:00 [medline]', '2021/09/27 12:20 [entrez]']","['JAD210660 [pii]', '10.3233/JAD-210660 [doi]']",ppublish,J Alzheimers Dis. 2021;84(2):579-598. doi: 10.3233/JAD-210660.,['NOTNLM'],"[""Alzheimer's disease"", 'NLRP3', 'dementia', 'inflammasome', 'innate immune']",,,,"['0 (Inflammasomes)', '0 (NLR Family, Pyrin Domain-Containing 3 Protein)']",,,,,,,,,,,,,,,,
29562521,NLM,MEDLINE,20190611,20190613,1875-8908 (Electronic) 1387-2877 (Linking),64,s1,2018,New Beginnings in Alzheimer's Disease: The Most Prevalent Tauopathy.,S529-S534,10.3233/JAD-179916 [doi],"Alzheimer's disease (AD) is characterized by the presence of two aberrant structures: namely senile plaques, composed of amyloid-beta peptide (Abeta), and neurofibrillary tangles, composed of tau protein. In this regard, Abeta and tau protein have been widely studied in research efforts aiming to find a therapy for AD. Abeta and tau pathologies do not always overlap. The precursor of Abeta is expressed in peripheral tissues and in the central nervous system (CNS), whereas tau is mainly a neuronal protein. Since AD is a disease of the CNS, it has been proposed that Abeta may initiate the disease process, with tau being the executor. In this review, we will focus on future studies of tau pathology, although we will comment on new beginnings for AD, as other molecules other than Abeta and tau may be involved in the onset of dementia.",,"['Hernandez, Felix', 'Llorens-Martin, Maria', 'Bolos, Marta', 'Perez, Mar', 'Cuadros, Raquel', 'Pallas-Bazarra, Noemi', 'Zabala, Juan C', 'Avila, Jesus']","['Hernandez F', 'Llorens-Martin M', 'Bolos M', 'Perez M', 'Cuadros R', 'Pallas-Bazarra N', 'Zabala JC', 'Avila J']","['Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.', 'CIBERNED, Madrid, Spain.', 'Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.', 'CIBERNED, Madrid, Spain.', 'Department of Molecular Biology, Faculty of Science, Universidad Autonoma de Madrid, Spain.', 'Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.', 'CIBERNED, Madrid, Spain.', 'Departamento de Anatomia Histologia y Neurociencia, Facultad de Medicina UAM, Madrid, Spain.', 'Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.', 'CIBERNED, Madrid, Spain.', 'Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.', 'CIBERNED, Madrid, Spain.', 'Departamento de Biologia Molecular, Facultad de Medicina, Universidad de Cantabria, Santander, Spain.', 'Centro de Biologia Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.', 'CIBERNED, Madrid, Spain.']",['eng'],,"['Journal Article', 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/epidemiology/*metabolism/therapy', 'Animals', 'Brain/metabolism', 'Humans', 'Neurons/metabolism', 'Prevalence', 'tau Proteins/*metabolism']",,,2018/03/23 06:00,2019/06/14 06:00,['2018/03/23 06:00'],"['2018/03/23 06:00 [pubmed]', '2019/06/14 06:00 [medline]', '2018/03/23 06:00 [entrez]']","['JAD179916 [pii]', '10.3233/JAD-179916 [doi]']",ppublish,J Alzheimers Dis. 2018;64(s1):S529-S534. doi: 10.3233/JAD-179916.,['NOTNLM'],"['Extracellular tau', 'MAPs', 'tau functions', 'tauopathies']",,,,['0 (tau Proteins)'],,,,,,,,,,,,,,,,
29504543,NLM,MEDLINE,20190611,20190613,1875-8908 (Electronic) 1387-2877 (Print) 1387-2877 (Linking),64,s1,2018,Targeting Alzheimer's Disease at the Right Time and the Right Place: Validation of a Personalized Approach to Diagnosis and Treatment.,S23-S31,10.3233/JAD-179924 [doi],"Cautious optimism is appropriate for a near future (five years) time frame for a number of drugs acting on the different pathophysiological components of Alzheimer's disease (amyloid deposition, tau hyperphosphorylation, neuroinflammation, vascular changes, to name the most important known so far). Since the relative weight of these components will be different between individuals and will even change over time for each individual, a 'one drug fit for all' approach is no longer defensible. Precision medicine using biomarkers in the diagnosis and treatment of Alzheimer's disease is the new strategy.",,"['Gauthier, Serge', 'Ng, Kok Pin', 'Pascoal, Tharick A', 'Zhang, Hua', 'Rosa-Neto, Pedro']","['Gauthier S', 'Ng KP', 'Pascoal TA', 'Zhang H', 'Rosa-Neto P']","['McGill Center for Studies in Aging, Douglas Mental Health Research Institute, Montreal, Canada.', 'Department of Neurology, National Neuroscience Institute, Singapore.', 'McGill Center for Studies in Aging, Douglas Mental Health Research Institute, Montreal, Canada.', 'Department of Neurology, The First Affiliated Hospital of Chongqing Medical University, Chongqing, China.', 'McGill Center for Studies in Aging, Douglas Mental Health Research Institute, Montreal, Canada.']",['eng'],['CIHR/Canada'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/*diagnosis/*therapy', 'Animals', 'Biomarkers/metabolism', 'Humans', '*Precision Medicine']",PMC6004905,,2018/03/06 06:00,2019/06/14 06:00,['2018/03/06 06:00'],"['2018/03/06 06:00 [pubmed]', '2019/06/14 06:00 [medline]', '2018/03/06 06:00 [entrez]']","['JAD179924 [pii]', '10.3233/JAD-179924 [doi]']",ppublish,J Alzheimers Dis. 2018;64(s1):S23-S31. doi: 10.3233/JAD-179924.,['NOTNLM'],"[""Alzheimer's disease"", 'biomarkers', 'brain imaging', 'database analysis', 'diagnosis', 'human volunteer cohorts', 'precision medicine', 'translational research', 'treatment']",,,,['0 (Biomarkers)'],,,,,,,,,,,,,,,,
24924663,NLM,MEDLINE,20150330,20140613,1552-5279 (Electronic) 1552-5260 (Linking),10,3 Suppl,2014 Jun,"Alzheimer's Disease prevalence, costs, and prevention for military personnel and veterans.",S105-10,S1552-5260(14)00139-3 [pii] 10.1016/j.jalz.2014.04.011 [doi],"By 2050, more than 13 million Americans of all ages are estimated to be living with Alzheimer's disease (AD), and the aggregate costs of care will swell to approximately $1.2 trillion. The rapidly climbing number of those affected with AD includes a growing population of aging military veterans affected who may have an added risk for the disease as a consequence of traumatic brain injury, posttraumatic stress disorder, and/or service-related injuries. The increasing number of individuals, the long duration of disability, and the rising cost of care for AD and other dementia to our society are important public health challenges facing many older adults. These challenges are further compounded by a burgeoning military veteran population that is much younger, with an increased risk of AD and other dementia, and who may experience decades-long periods of disability and care. This outlook underscores the critical need for investments in research at the federal and international levels to accelerate the pace of progress in developing breakthrough discoveries that will change the trajectory of AD and related dementia.","[""Copyright (c) 2014 The Alzheimer's Association. Published by Elsevier Inc. All"", 'rights reserved.']","['Sibener, Leslie', 'Zaganjor, Ibrahim', 'Snyder, Heather M', 'Bain, Lisa J', 'Egge, Robert', 'Carrillo, Maria C']","['Sibener L', 'Zaganjor I', 'Snyder HM', 'Bain LJ', 'Egge R', 'Carrillo MC']","[""Medical and Scientific Relations Division, Alzheimer's Association, Chicago, IL, USA."", ""Medical and Scientific Relations Division, Alzheimer's Association, Chicago, IL, USA."", ""Medical and Scientific Relations Division, Alzheimer's Association, Chicago, IL, USA."", 'Independent Science Writer, Philadelphia, PA, USA.', ""Public Policy and Advocacy Division, Alzheimer's Association, Washington, DC, USA."", ""Medical and Scientific Relations Division, Alzheimer's Association, Chicago, IL, USA. Electronic address: mcarrillo@alz.org.""]",['eng'],,"['Journal Article', 'Review']",United States,Alzheimers Dement,Alzheimer's & dementia : the journal of the Alzheimer's Association,101231978,IM,"['Alzheimer Disease/*economics/*epidemiology/genetics/prevention & control', 'Brain Injuries/epidemiology', 'Cost of Illness', 'Health Care Costs', 'Humans', '*Military Personnel', 'Prevalence', 'Risk Factors', 'Stress Disorders, Post-Traumatic/epidemiology', '*Veterans']",,,2014/06/14 06:00,2015/03/31 06:00,['2014/06/14 06:00'],"['2014/06/14 06:00 [entrez]', '2014/06/14 06:00 [pubmed]', '2015/03/31 06:00 [medline]']","['S1552-5260(14)00139-3 [pii]', '10.1016/j.jalz.2014.04.011 [doi]']",ppublish,Alzheimers Dement. 2014 Jun;10(3 Suppl):S105-10. doi: 10.1016/j.jalz.2014.04.011.,['NOTNLM'],"[""Alzheimer's disease"", 'Healthcare costs', 'Military medicine', 'Posttraumatic stress disorder', 'Traumatic brain injury']",,,,,,,,,,,,,,,,,,,,
29562518,NLM,MEDLINE,20190611,20190613,1875-8908 (Electronic) 1387-2877 (Linking),64,s1,2018,Metabolic Dysfunction in Alzheimer's Disease: From Basic Neurobiology to Clinical Approaches.,S405-S426,10.3233/JAD-179911 [doi],"Clinical trials have extensively failed to find effective treatments for Alzheimer's disease (AD) so far. Even after decades of AD research, there are still limited options for treating dementia. Mounting evidence has indicated that AD patients develop central and peripheral metabolic dysfunction, and the underpinnings of such events have recently begun to emerge. Basic and preclinical studies have unveiled key pathophysiological mechanisms that include aberrant brain stress signaling, inflammation, and impaired insulin sensitivity. These findings are in accordance with clinical and neuropathological data suggesting that AD patients undergo central and peripheral metabolic deregulation. Here, we review recent basic and clinical findings indicating that metabolic defects are central to AD pathophysiology. We further propose a view for future therapeutics that incorporates metabolic defects as a core feature of AD pathogenesis. This approach could improve disease understanding and therapy development through drug repurposing and/or identification of novel metabolic targets.",,"['Clarke, Julia R', 'Ribeiro, Felipe C', 'Frozza, Rudimar L', 'De Felice, Fernanda G', 'Lourenco, Mychael V']","['Clarke JR', 'Ribeiro FC', 'Frozza RL', 'De Felice FG', 'Lourenco MV']","['School of Pharmacy, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.', 'Institute of Medical Biochemistry Leopoldo de Meis, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.', 'Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.', 'Oswaldo Cruz Institute, Oswaldo Cruz Foundation, FIOCRUZ, Rio de Janeiro, Brazil.', 'Institute of Medical Biochemistry Leopoldo de Meis, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.', ""Centre for Neuroscience Studies, Department of Biomedical and Molecular Sciences, Queen's University, Kingston, ON, Canada."", 'Institute of Medical Biochemistry Leopoldo de Meis, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.', 'Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/drug therapy/*metabolism', 'Animals', 'Humans']",,,2018/03/23 06:00,2019/06/14 06:00,['2018/03/23 06:00'],"['2018/03/23 06:00 [pubmed]', '2019/06/14 06:00 [medline]', '2018/03/23 06:00 [entrez]']","['JAD179911 [pii]', '10.3233/JAD-179911 [doi]']",ppublish,J Alzheimers Dis. 2018;64(s1):S405-S426. doi: 10.3233/JAD-179911.,['NOTNLM'],"[""Alzheimer's disease"", 'hormones', 'memory', 'metabolism', 'therapy']",,,,,,,,,,,,,,,,,,,,
29480188,NLM,MEDLINE,20190208,20190215,1875-8908 (Electronic) 1387-2877 (Linking),62,2,2018,Human Gut Microbiota in Health and Alzheimer's Disease.,549-560,10.3233/JAD-170908 [doi],"Gut microbiota plays a crucial role in human health and disease. The alterations in the composition of gut microbiota may cause the onset of certain human pathologies. One of these is Alzheimer's disease (AD). High-fat diets, administration of antibiotics, lack of probiotics and/or prebiotics in diet increase the risk of AD. On the other hand, modulation of the composition of gut microbiota may decrease the risk of AD and be able to slow down the progression of AD.",,"['Szablewski, Leszek']",['Szablewski L'],"['Medical University of Warsaw, Department of General Biology and Parasitology, Warsaw, Poland.']",['eng'],,"['Journal Article', 'Review']",Netherlands,J Alzheimers Dis,Journal of Alzheimer's disease : JAD,9814863,IM,"['Alzheimer Disease/*microbiology/*physiopathology', 'Diet, High-Fat/adverse effects', 'Dysbiosis/microbiology', '*Gastrointestinal Microbiome', 'Gastrointestinal Tract/*microbiology/physiopathology', 'Humans', 'Risk Factors']",,,2018/02/27 06:00,2019/02/09 06:00,['2018/02/27 06:00'],"['2018/02/27 06:00 [entrez]', '2018/02/27 06:00 [pubmed]', '2019/02/09 06:00 [medline]']","['JAD170908 [pii]', '10.3233/JAD-170908 [doi]']",ppublish,J Alzheimers Dis. 2018;62(2):549-560. doi: 10.3233/JAD-170908.,['NOTNLM'],"[""Alzheimer's disease"", 'dysbiosis', 'gut microbiota', 'metabolic endotoxemia', 'physiology']",,,,,,,,,,,,,,,,,,,,
