PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,LID,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,IP,AB,AUID,PMC,COIS,OTO,OT,GR,RN,CI,RF,CON,MID,CIN,CN,TT,PS,FPS,SPIN,EIN,OID,ORI
30355164,NLM,MEDLINE,20191003,20191007,1524-4571 (Electronic) 0009-7330 (Linking),123,2018 Oct 12,Erin Reineke.,1017-1019,10.1161/CIRCRESAHA.118.314090 [doi],"['Goldberg-Smith, Pam']",['Goldberg-Smith P'],,['eng'],"['Biography', 'Historical Article', 'Interview', 'Portrait']",,United States,Circ Res,Circulation research,0047103,IM,"['Awards and Prizes', 'Biomedical Research/*history', 'Cardiology/*history', 'Cardiovascular Diseases/drug therapy/*history/pathology/physiopathology', 'Career Choice', 'History, 20th Century', 'History, 21st Century', 'Humans', 'Job Satisfaction']",2018/10/26 06:00,2019/10/08 06:00,['2018/10/26 06:00'],"['2018/10/26 06:00 [entrez]', '2018/10/26 06:00 [pubmed]', '2019/10/08 06:00 [medline]']",['10.1161/CIRCRESAHA.118.314090 [doi]'],ppublish,Circ Res. 2018 Oct 12;123(9):1017-1019. doi: 10.1161/CIRCRESAHA.118.314090.,9,,,,,,,,,,,,,,,,['Reineke E'],"['Reineke, Erin']",,,,
31698950,NLM,MEDLINE,20210315,20210315,2047-4881 (Electronic) 2047-4873 (Linking),27,2020 Dec,Cognitive behavioural therapy for anxiety in cardiovascular diseases and implantable devices: A cautionary note.,2049,10.1177/2047487319888594 [doi],"['Tully, Phillip J']",['Tully PJ'],"[""Freemasons Foundation Centre for Men's Health School of Medicine, University of Adelaide, Australia.""]",['eng'],"['Comment', 'Letter']",20191107,England,Eur J Prev Cardiol,European journal of preventive cardiology,101564430,IM,"['Anxiety/diagnosis/therapy', 'Anxiety Disorders', '*Cardiovascular Diseases/diagnosis/epidemiology/therapy', '*Cognitive Behavioral Therapy', 'Defibrillators', 'Humans']",2019/11/09 06:00,2021/03/16 06:00,['2019/11/09 06:00'],"['2019/11/09 06:00 [pubmed]', '2021/03/16 06:00 [medline]', '2019/11/09 06:00 [entrez]']",['10.1177/2047487319888594 [doi]'],ppublish,Eur J Prev Cardiol. 2020 Dec;27(19):2049. doi: 10.1177/2047487319888594. Epub 2019 Nov 7.,19,,,,,,,,,,,['Eur J Prev Cardiol. 2020 Feb;27(3):258-268. PMID: 31575299'],,,,,,,,,,
33872077,NLM,MEDLINE,20211217,20211217,1524-4539 (Electronic) 0009-7322 (Linking),143,2021 Apr 20,"Sodium, Blood Pressure, and the Likely Massive Avoidable Burden of Cardiovascular Disease.",1568-1570,10.1161/CIRCULATIONAHA.120.052654 [doi],"['Neal, Bruce', 'Wu, Jason']","['Neal B', 'Wu J']","['The George Institute for Global Health, UNSW Sydney, New South Wales, Australia (B.N., J.W.).', 'Imperial College London, United Kingdom (B.N.).', 'The George Institute for Global Health, UNSW Sydney, New South Wales, Australia (B.N., J.W.).']",['eng'],"['Comment', 'Editorial']",20210419,United States,Circulation,Circulation,0147763,IM,"['Blood Pressure', '*Cardiovascular Diseases/diagnosis/epidemiology/prevention & control', 'Humans', 'Risk Factors', '*Sodium']",2021/04/20 06:00,2021/12/18 06:00,['2021/04/19 17:14'],"['2021/04/19 17:14 [entrez]', '2021/04/20 06:00 [pubmed]', '2021/12/18 06:00 [medline]']",['10.1161/CIRCULATIONAHA.120.052654 [doi]'],ppublish,Circulation. 2021 Apr 20;143(16):1568-1570. doi: 10.1161/CIRCULATIONAHA.120.052654. Epub 2021 Apr 19.,16,,,,,['NOTNLM'],"['Editorials', 'blood pressure', 'cardiovascular diseases', 'sodium']",,['9NEZ333N27 (Sodium)'],,,['Circulation. 2021 Apr 20;143(16):1542-1567. PMID: 33586450'],,,,,,,,,,
2889835,NLM,MEDLINE,19871217,20161017,0098-7484 (Print) 0098-7484 (Linking),258,1987 Nov 27,Immunologic aspects of cardiovascular disease.,2974-82,,"['Ledford, D K', 'Espinoza, L R']","['Ledford DK', 'Espinoza LR']",,['eng'],"['Journal Article', 'Review']",,United States,JAMA,JAMA,7501160,IM,"['Cardiovascular Diseases/diagnosis/*immunology/therapy', 'Giant Cell Arteritis', 'Granulomatosis with Polyangiitis', 'Humans', 'Hypersensitivity', 'Myocarditis', 'Pericarditis', 'Polyarteritis Nodosa', 'Rheumatic Fever', 'Takayasu Arteritis', 'Vasculitis/immunology']",1987/11/27 00:00,1987/11/27 00:01,['1987/11/27 00:00'],"['1987/11/27 00:00 [pubmed]', '1987/11/27 00:01 [medline]', '1987/11/27 00:00 [entrez]']",,ppublish,JAMA. 1987 Nov 27;258(20):2974-82.,20,"The current classification scheme of the diverse inflammatory cardiovascular diseases permits a clinical staging and facilitates prognostic assessment and therapeutic decision making. Ultimately, improvement in the classification of and definitive therapy for these conditions awaits better definition of the interaction among specific etiologic agents, host factors, and the immune system responsible for these diseases.",,,,,,,,,36,,,,,,,,,,,
30466322,NLM,MEDLINE,20191125,20191125,2047-4881 (Electronic) 2047-4873 (Linking),25,2018 Dec,Editor's presentation.,1907-1909,10.1177/2047487318813775 [doi],"['Piepoli, Massimo F']",['Piepoli MF'],"['Heart Failure Unit, Cardiology, G da Saliceto Hospital, Piacenza, Italy.']",['eng'],"['Editorial', 'Introductory Journal Article']",,England,Eur J Prev Cardiol,European journal of preventive cardiology,101564430,IM,"['*Cardiovascular Diseases/diagnostic imaging/epidemiology/therapy', 'Humans', 'Predictive Value of Tests', 'Prognosis', 'Risk Factors']",2018/11/24 06:00,2019/11/26 06:00,['2018/11/24 06:00'],"['2018/11/24 06:00 [entrez]', '2018/11/24 06:00 [pubmed]', '2019/11/26 06:00 [medline]']",['10.1177/2047487318813775 [doi]'],ppublish,Eur J Prev Cardiol. 2018 Dec;25(18):1907-1909. doi: 10.1177/2047487318813775.,18,,,,,,,,,,,,,,,,,,,,,
30409093,NLM,MEDLINE,20191125,20191125,2047-4881 (Electronic) 2047-4873 (Linking),25,2018 Nov,Editor's presentation.,1795-1797,10.1177/2047487318811005 [doi],"['Piepoli, Massimo F']",['Piepoli MF'],"['Heart Failure Unit, Cardiology, G da Saliceto Hospital, Italy.']",['eng'],"['Editorial', 'Introductory Journal Article']",,England,Eur J Prev Cardiol,European journal of preventive cardiology,101564430,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/therapy', 'Humans', 'Predictive Value of Tests', 'Prognosis', 'Risk Factors']",2018/11/10 06:00,2019/11/26 06:00,['2018/11/10 06:00'],"['2018/11/10 06:00 [entrez]', '2018/11/10 06:00 [pubmed]', '2019/11/26 06:00 [medline]']",['10.1177/2047487318811005 [doi]'],ppublish,Eur J Prev Cardiol. 2018 Nov;25(17):1795-1797. doi: 10.1177/2047487318811005.,17,,,,,,,,,,,,,,,,,,,,,
29384418,NLM,MEDLINE,20190409,20190409,2047-4881 (Electronic) 2047-4873 (Linking),25,2018 Feb,Editor's presentation.,227-229,10.1177/2047487318756841 [doi],"['Piepoli, Massimo F']",['Piepoli MF'],"['Heart Failure Unit, Cardiology, G da Saliceto Hospital, Piacenza, Emilia, Romagna, Italy.']",['eng'],"['Editorial', 'Introductory Journal Article']",,England,Eur J Prev Cardiol,European journal of preventive cardiology,101564430,IM,"['Age Factors', '*Cardiovascular Diseases/mortality/physiopathology/psychology/therapy', 'Comorbidity', 'Exercise Tolerance', 'Health Status', 'Hemodynamics', 'Humans', 'Prognosis', 'Risk Assessment', 'Risk Factors']",2018/02/01 06:00,2019/04/10 06:00,['2018/02/01 06:00'],"['2018/02/01 06:00 [entrez]', '2018/02/01 06:00 [pubmed]', '2019/04/10 06:00 [medline]']",['10.1177/2047487318756841 [doi]'],ppublish,Eur J Prev Cardiol. 2018 Feb;25(3):227-229. doi: 10.1177/2047487318756841.,3,,,,,,,,,,,,,,,,,,,,,
30334660,NLM,MEDLINE,20191125,20191125,2047-4881 (Electronic) 2047-4873 (Linking),25,2018 Nov,Editor's presentation.,1683-1685,10.1177/2047487318806722 [doi],"['Piepoli, Massimo F']",['Piepoli MF'],"['Heart Failure Unit, Cardiology, G da Saliceto Hospital, Piacenza, Emilia, Romagna, Italy.']",['eng'],"['Editorial', 'Introductory Journal Article']",,England,Eur J Prev Cardiol,European journal of preventive cardiology,101564430,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/therapy', 'Humans', 'Predictive Value of Tests', 'Prognosis', 'Risk Factors']",2018/10/20 06:00,2019/11/26 06:00,['2018/10/19 06:00'],"['2018/10/19 06:00 [entrez]', '2018/10/20 06:00 [pubmed]', '2019/11/26 06:00 [medline]']",['10.1177/2047487318806722 [doi]'],ppublish,Eur J Prev Cardiol. 2018 Nov;25(16):1683-1685. doi: 10.1177/2047487318806722.,16,,,,,,,,,,,,,,,,,,,,,
30198782,NLM,MEDLINE,20191125,20191125,2047-4881 (Electronic) 2047-4873 (Linking),25,2018 Sep,Editor's presentation.,1459-1461,10.1177/2047487318799428 [doi],"['Piepoli, Massimo F']",['Piepoli MF'],"['Heart Failure Unit, G da Saliceto Hospital, Italy.']",['eng'],"['Editorial', 'Introductory Journal Article']",,England,Eur J Prev Cardiol,European journal of preventive cardiology,101564430,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/therapy', 'Humans', 'Prognosis', 'Risk Factors']",2018/09/11 06:00,2019/11/26 06:00,['2018/09/11 06:00'],"['2018/09/11 06:00 [entrez]', '2018/09/11 06:00 [pubmed]', '2019/11/26 06:00 [medline]']",['10.1177/2047487318799428 [doi]'],ppublish,Eur J Prev Cardiol. 2018 Sep;25(14):1459-1461. doi: 10.1177/2047487318799428.,14,,,,,,,,,,,,,,,,,,,,,
21418027,NLM,MEDLINE,20111212,20190728,1873-4286 (Electronic) 1381-6128 (Linking),17,2011,Cardiovascular disease: focus on dyslipidemia.,850-1,,"['Gouni-Berthold, I']",['Gouni-Berthold I'],,['eng'],['Editorial'],,United Arab Emirates,Curr Pharm Des,Current pharmaceutical design,9602487,IM,"['Aging', 'Cardiovascular Diseases/*drug therapy/epidemiology/physiopathology/*prevention & control', 'Dyslipidemias/*drug therapy', 'Humans']",2011/03/23 06:00,2011/12/14 06:00,['2011/03/23 06:00'],"['2011/03/09 00:00 [received]', '2011/03/16 00:00 [accepted]', '2011/03/23 06:00 [entrez]', '2011/03/23 06:00 [pubmed]', '2011/12/14 06:00 [medline]']","['BSP/CPD/E-Pub/000385 [pii]', '10.2174/138161211795428812 [doi]']",ppublish,Curr Pharm Des. 2011;17(9):850-1. doi: 10.2174/138161211795428812.,9,,,,,,,,,,,,,,,,,,,,,
8903751,NLM,MEDLINE,19970312,20051116,0885-114X (Print) 0885-114X (Linking),10,1995 Oct-Dec,Cardiovascular disease among firefighters.,821-7,,"['Melius, J M']",['Melius JM'],"[""Center to Protect Workers' Rights, Washington, DC, USA.""]",['eng'],"['Journal Article', 'Review']",,United States,Occup Med,"Occupational medicine (Philadelphia, Pa.)",8605629,IM,"['*Cardiovascular Diseases/epidemiology/etiology/physiopathology/prevention & control', '*Fires', 'Humans', 'Incidence', '*Occupational Diseases/epidemiology/etiology/physiopathology/prevention & control', 'Risk Factors', 'Survival Rate']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Occup Med. 1995 Oct-Dec;10(4):821-7.,4,"The author reviews the literature of the past 20 years on heart disease among firefighters, covering the specific aspects of firefighting that may be related to potential cardiovascular disease. The author then outlines steps that can be taken to reduce the risks of developing cardiovascular disease.",,,,,,,,,45,,,,,,,,,,,
16189754,NLM,MEDLINE,20051121,20071115,0012-0472 (Print) 0012-0472 (Linking),130,2005 Sep 30,[Diagnosis and treatment of cardiovascular diseases according to the guidelines].,2187-8,,"['Strasser, R H']",['Strasser RH'],,['ger'],['Editorial'],,Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,IM,"['Cardiology', 'Cardiovascular Diseases/*diagnosis/etiology/*therapy', 'Germany', 'Guideline Adherence', 'Humans', '*Practice Guidelines as Topic', 'Prognosis', 'Risk Factors', 'Societies, Medical']",2005/09/29 09:00,2005/12/13 09:00,['2005/09/29 09:00'],"['2005/09/29 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/09/29 09:00 [entrez]']",['10.1055/s-2005-916362 [doi]'],ppublish,Dtsch Med Wochenschr. 2005 Sep 30;130(39):2187-8. doi: 10.1055/s-2005-916362.,39,,,,,,,,,,,,,,,Leitliniengerechte Diagnostik und Therapie kardiologischer Erkrankungen.,,,,,,
28494712,NLM,MEDLINE,20180918,20180918,1477-0377 (Electronic) 1358-863X (Linking),22,2017 Jun,Membership spotlight.,275-277,10.1177/1358863X17701848 [doi],"['Mohler, Emile R', 'Campia, Umberto']","['Mohler ER', 'Campia U']",,['eng'],"['Biography', 'Historical Article', 'Interview']",,England,Vasc Med,"Vascular medicine (London, England)",9610930,IM,"['Biomedical Research/*history', 'Cardiovascular Diseases/diagnosis/*history/physiopathology/therapy', 'Career Choice', 'Education, Medical/history', 'History, 20th Century', 'History, 21st Century', 'Mentors/history', 'Societies, Medical/*history']",2017/05/13 06:00,2018/09/19 06:00,['2017/05/13 06:00'],"['2017/05/13 06:00 [entrez]', '2017/05/13 06:00 [pubmed]', '2018/09/19 06:00 [medline]']",['10.1177/1358863X17701848 [doi]'],ppublish,Vasc Med. 2017 Jun;22(3):275-277. doi: 10.1177/1358863X17701848.,3,,,,,,,,,,,,,,,,"['Mohler ER', 'Campia U']","['Mohler, Emile R', 'Campia, Umberto']",,,,
33589369,NLM,MEDLINE,20210913,20210913,1878-0938 (Electronic) 1878-0938 (Linking),26,2021 May,The Losing Battles in the Winning Campaign Against Cardiovascular Disease.,32-33,S1553-8389(21)00089-0 [pii] 10.1016/j.carrev.2021.02.005 [doi],"['Thomas, Joseph L', 'Velazquez, Ignacio D']","['Thomas JL', 'Velazquez ID']","['Division of Cardiology, Harbor-UCLA Medical Center, Torrance, CA, United States of America; The Lundquist Institute for Biomedical Research at Harbor-UCLA, Torrance, CA, United States of America. Electronic address: JTHOMAS@Lundquist.org.', 'Division of Cardiology, Harbor-UCLA Medical Center, Torrance, CA, United States of America; The Lundquist Institute for Biomedical Research at Harbor-UCLA, Torrance, CA, United States of America.']",['eng'],"['Comment', 'Editorial']",20210213,United States,Cardiovasc Revasc Med,Cardiovascular revascularization medicine : including molecular interventions,101238551,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/prevention & control', 'Humans']",2021/02/17 06:00,2021/09/14 06:00,['2021/02/16 05:49'],"['2021/02/02 00:00 [received]', '2021/02/04 00:00 [accepted]', '2021/02/17 06:00 [pubmed]', '2021/09/14 06:00 [medline]', '2021/02/16 05:49 [entrez]']","['S1553-8389(21)00089-0 [pii]', '10.1016/j.carrev.2021.02.005 [doi]']",ppublish,Cardiovasc Revasc Med. 2021 May;26:32-33. doi: 10.1016/j.carrev.2021.02.005. Epub 2021 Feb 13.,,,,,,,,,,,,['Cardiovasc Revasc Med. 2021 May;26:26-31. PMID: 33229134'],,,,,,,,,,
24330975,NLM,MEDLINE,20150402,20131216,1578-1879 (Electronic) 0214-9168 (Linking),25,2013 Nov-Dec,[Cardiovascular diseases in Spain: conclusions and final comments].,231-2,S0214-9168(13)00120-4 [pii] 10.1016/j.arteri.2013.11.003 [doi],"['Civeira, Fernando']",['Civeira F'],"['Unidad de Lipidos. Servicio de Medicina Interna, Hospital Universitario Miguel Servet, Universidad de Zaragoza, Zaragoza, Espana. Electronic address: civeira@unizar.es.']",['spa'],['Journal Article'],,Spain,Clin Investig Arterioscler,Clinica e investigacion en arteriosclerosis : publicacion oficial de la Sociedad Espanola de Arteriosclerosis,9208512,IM,"['Aging', 'Cardiovascular Diseases/epidemiology/mortality/*prevention & control', 'Humans', 'Risk Factors', 'Spain/epidemiology']",2013/12/18 06:00,2015/04/04 06:00,['2013/12/17 06:00'],"['2013/11/07 00:00 [received]', '2013/11/11 00:00 [accepted]', '2013/12/17 06:00 [entrez]', '2013/12/18 06:00 [pubmed]', '2015/04/04 06:00 [medline]']","['S0214-9168(13)00120-4 [pii]', '10.1016/j.arteri.2013.11.003 [doi]']",ppublish,Clin Investig Arterioscler. 2013 Nov-Dec;25(5):231-2. doi: 10.1016/j.arteri.2013.11.003.,5,,,,,,,,,,,,,,,Enfermedad cardiovascular en Espana: conclusiones y comentarios finales.,,,,,,
34228329,NLM,MEDLINE,20220208,20220208,1532-6551 (Electronic) 1071-3581 (Linking),28,2021 Aug,Cardiovascular disease in the literature: A selection of recent original research papers.,1207-1209,10.1007/s12350-021-02720-9 [doi],"['Hage, Fadi G', 'AlJaroudi, Wael']","['Hage FG', 'AlJaroudi W']","['Division of Cardiovascular Disease, Department of Medicine, University of Alabama at Birmingham, Lyons Harrison Research Building 306, 1900 University BLVD, Birmingham, AL, 35294, USA. fadihage@uab.edu.', 'Section of Cardiology, Birmingham Veterans Affairs Medical Center, Birmingham, AL, USA. fadihage@uab.edu.', 'Division of Cardiovascular Medicine, Augusta University, Augusta, Georgia.']",['eng'],"['Journal Article', 'Review']",20210706,United States,J Nucl Cardiol,Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology,9423534,IM,"['Cardiovascular Diseases/complications/*diagnosis/*therapy', 'Humans']",2021/07/07 06:00,2021/07/07 06:01,['2021/07/06 13:25'],"['2021/06/23 00:00 [received]', '2021/06/24 00:00 [accepted]', '2021/07/07 06:00 [pubmed]', '2021/07/07 06:01 [medline]', '2021/07/06 13:25 [entrez]']","['10.1007/s12350-021-02720-9 [pii]', '10.1007/s12350-021-02720-9 [doi]']",ppublish,J Nucl Cardiol. 2021 Aug;28(4):1207-1209. doi: 10.1007/s12350-021-02720-9. Epub 2021 Jul 6.,4,,,,,,,,,,,,,,,,,,,,,
28906535,NLM,MEDLINE,20190128,20190128,1680-0745 (Electronic) 1995-1892 (Print) 1015-9657 (Linking),28,2017 Jul/Aug,From the Editor's Desk.,207,,"['Commerford, Pat']",['Commerford P'],['Editor-in-Chief.'],['eng'],"['Editorial', 'Introductory Journal Article']",,South Africa,Cardiovasc J Afr,Cardiovascular journal of Africa,101313864,IM,"['*Cardiovascular Diseases/diagnosis/epidemiology/physiopathology/therapy', 'Echocardiography', 'Electrocardiography', 'Humans', 'Prognosis', 'South Africa/epidemiology']",2017/09/15 06:00,2019/01/29 06:00,['2017/09/15 06:00'],"['2017/09/15 06:00 [entrez]', '2017/09/15 06:00 [pubmed]', '2019/01/29 06:00 [medline]']",,ppublish,Cardiovasc J Afr. 2017 Jul/Aug;28(4):207.,4,,,PMC5646187,,,,,,,,,,,,,,,,,,
23091846,NLM,MEDLINE,20121106,20130212,0040-3660 (Print) 0040-3660 (Linking),84,2012,[Experience in preventing cardiovascular diseases in our country].,4-10,,"['Boitsov, S A', 'Oganov, R G']","['Boitsov SA', 'Oganov RG']",,['rus'],"['Editorial', 'English Abstract']",,Russia (Federation),Ter Arkh,Terapevticheskii arkhiv,2984818R,IM,"['Cardiovascular Diseases/etiology/physiopathology/*prevention & control', 'Humans', 'Risk Factors', 'Russia']",2012/10/24 06:00,2012/11/07 06:00,['2012/10/24 06:00'],"['2012/10/24 06:00 [entrez]', '2012/10/24 06:00 [pubmed]', '2012/11/07 06:00 [medline]']",,ppublish,Ter Arkh. 2012;84(9):4-10.,9,The paper gives concise historic information on the prevention of non-communicable diseases and characterizes the-state-of-the-art of cardiovascular disease prevention in Russia.,,,,,,,,,,,,,,,,,,,,
24814106,NLM,MEDLINE,20150915,20211021,2213-3763 (Electronic) 0019-4832 (Print) 0019-4832 (Linking),66,2014 Mar-Apr,Quo vadis cardiology?,151-2,S0019-4832(14)00099-6 [pii] 10.1016/j.ihj.2014.03.001 [doi],"['Mehrotra, Rahul', 'Sarat Chandra, K']","['Mehrotra R', 'Sarat Chandra K']","['Senior Consultant Cardiology, Medanta, The Medicity, Gurgaon, Haryana, India.', 'Honorary Editor, Indian Heart Journal, India; Chief Cardiologist, Indo US Superspeciality Hospital, Hyderabad, India. Electronic address: saratkoduganti@gmail.com.']",['eng'],['Editorial'],,India,Indian Heart J,Indian heart journal,0374675,IM,"['Cardiology/*trends', 'Cardiovascular Diseases/epidemiology/*prevention & control/therapy', 'Forecasting', 'Humans']",2014/05/13 06:00,2015/09/16 06:00,['2014/05/13 06:00'],"['2014/05/13 06:00 [entrez]', '2014/05/13 06:00 [pubmed]', '2015/09/16 06:00 [medline]']","['S0019-4832(14)00099-6 [pii]', '10.1016/j.ihj.2014.03.001 [doi]']",ppublish,Indian Heart J. 2014 Mar-Apr;66(2):151-2. doi: 10.1016/j.ihj.2014.03.001.,2,,,PMC4017379,,,,,,,,,,['Indian Heart J. 2014 Sep-Oct;66(5):560-1. PMID: 25443617'],,,,,,,,
23364763,NLM,MEDLINE,20130213,20130131,1476-4687 (Electronic) 0028-0836 (Linking),493,2013 Jan 31,Heart health.,S1,10.1038/493S1a [doi],"['May, Mike']",['May M'],,['eng'],['Introductory Journal Article'],,England,Nature,Nature,0410462,IM,"['Cardiovascular Diseases/drug therapy/*prevention & control/*therapy', 'Humans', 'Risk Assessment']",2013/02/01 06:00,2013/02/14 06:00,['2013/02/01 06:00'],"['2013/02/01 06:00 [entrez]', '2013/02/01 06:00 [pubmed]', '2013/02/14 06:00 [medline]']","['493S1a [pii]', '10.1038/493S1a [doi]']",ppublish,Nature. 2013 Jan 31;493(7434):S1. doi: 10.1038/493S1a.,7434,,,,,,,,,,,,,,,,,,,,,
23797424,NLM,MEDLINE,20131101,20171116,1897-4279 (Electronic) 0022-9032 (Linking),71,2013,[Editorial].,547,10.5603/KP.2013.0116 [doi],"['Filipiak, Krzysztof J']",['Filipiak KJ'],,['pol'],"['Editorial', 'Introductory Journal Article']",,Poland,Kardiol Pol,Kardiologia polska,0376352,IM,"['Cardiovascular Diseases/*complications/diagnosis/*physiopathology/therapy', 'Diabetes Complications', 'Humans', 'Hypercholesterolemia/complications', 'Metabolic Syndrome/complications', 'Periodontal Diseases/complications']",2013/06/26 06:00,2013/11/02 06:00,['2013/06/26 06:00'],"['2013/06/18 00:00 [received]', '2013/06/18 00:00 [accepted]', '2013/06/26 06:00 [entrez]', '2013/06/26 06:00 [pubmed]', '2013/11/02 06:00 [medline]']","['VM/OJS/KP/7971 [pii]', '10.5603/KP.2013.0116 [doi]']",ppublish,Kardiol Pol. 2013;71(6):547. doi: 10.5603/KP.2013.0116.,6,,,,,,,,,,,,,,,Slowo redakcyjne.,,,,,,
29542283,NLM,MEDLINE,20190314,20190314,1522-726X (Electronic) 1522-1946 (Linking),91,2018 Feb 15,Catheterization and Cardiovascular Interventions CIT Special Issue: Editor In Chief Editorial.,549,10.1002/ccd.27556 [doi],"['Bailey, Steven R']",['Bailey SR'],['Catheterization and Cardiovascular Interventions.'],['eng'],['Editorial'],,United States,Catheter Cardiovasc Interv,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,100884139,IM,"['Cardiac Catheterization/*trends', 'Cardiac Surgical Procedures/*trends', 'Cardiology/*trends', 'Cardiovascular Diseases/diagnosis/physiopathology/surgery/*therapy', 'China', 'Congresses as Topic', 'Diffusion of Innovation', 'Humans']",2018/03/16 06:00,2019/03/15 06:00,['2018/03/16 06:00'],"['2018/03/16 06:00 [entrez]', '2018/03/16 06:00 [pubmed]', '2019/03/15 06:00 [medline]']",['10.1002/ccd.27556 [doi]'],ppublish,Catheter Cardiovasc Interv. 2018 Feb 15;91(S1):549. doi: 10.1002/ccd.27556.,S1,,,,,,,,,,,,,,,,,,,,,
25399272,NLM,MEDLINE,20141208,20161017,1538-3598 (Electronic) 0098-7484 (Linking),312,2014 Nov 19,Progress against cardiovascular disease: putting the pieces together.,1979-80,10.1001/jama.2014.15554 [doi],"['Greenland, Philip', 'Peterson, Eric D', 'Gaziano, J Michael']","['Greenland P', 'Peterson ED', 'Gaziano JM']","['Department of Preventive Medicine, Northwestern University, Chicago, Illinois4Senior Editor, JAMA.', 'Duke University Medical Center, Durham, North Carolina5Associate Editor, JAMA.', ""VA Boston, Brigham and Women's Hospital, and Harvard Medical School, Boston, Massachusetts5Associate Editor, JAMA.""]",['eng'],"['Editorial', 'Introductory Journal Article']",,United States,JAMA,JAMA,7501160,IM,"['*Cardiovascular Diseases/complications/epidemiology/prevention & control/therapy', 'Humans']",2014/11/17 06:00,2014/12/15 06:00,['2014/11/17 06:00'],"['2014/11/17 06:00 [entrez]', '2014/11/17 06:00 [pubmed]', '2014/12/15 06:00 [medline]']","['1935105 [pii]', '10.1001/jama.2014.15554 [doi]']",ppublish,JAMA. 2014 Nov 19;312(19):1979-80. doi: 10.1001/jama.2014.15554.,19,,,,,,,,,,,,,,,,,,,,,
26908853,NLM,MEDLINE,20161213,20181113,1941-7705 (Electronic) 1941-7713 (Print) 1941-7713 (Linking),9,2016 Feb,Annual Women's Issue.,S1-2,10.1161/CIRCOUTCOMES.116.002673 [doi],"['Krumholz, Harlan M']",['Krumholz HM'],"['From the Section of Cardiovascular Medicine and the Robert Wood Johnson Foundation Clinical Scholars Program, Department of Internal Medicine, Yale School of Medicine, New Haven, CT; Department of Health Policy and Management, Yale School of Public Health, New Haven, CT; and Center for Outcomes Research and Evaluation, Yale-New Haven Hospital, New Haven, CT. harlan.krumholz@yale.edu.']",['eng'],"['Editorial', 'Research Support, N.I.H., Extramural']",,United States,Circ Cardiovasc Qual Outcomes,Circulation. Cardiovascular quality and outcomes,101489148,IM,"['Cardiovascular Diseases/epidemiology/etiology/*prevention & control/therapy', 'Female', 'Humans', 'Male', 'Sex Characteristics', ""*Women's Health""]",2016/02/26 06:00,2016/12/15 06:00,['2016/02/25 06:00'],"['2016/02/25 06:00 [entrez]', '2016/02/26 06:00 [pubmed]', '2016/12/15 06:00 [medline]']","['CIRCOUTCOMES.116.002673 [pii]', '10.1161/CIRCOUTCOMES.116.002673 [doi]']",ppublish,Circ Cardiovasc Qual Outcomes. 2016 Feb;9(2 Suppl 1):S1-2. doi: 10.1161/CIRCOUTCOMES.116.002673.,2 Suppl 1,,,PMC5360717,,['NOTNLM'],"['American Heart Association', 'awareness', 'return to work', 'sex characteristics', ""women's health""]","['U01 HL105270/HL/NHLBI NIH HHS/United States', 'U01 HL105270-05/HL/NHLBI NIH HHS/United States']",,,,,['NIHMS754243'],,,,,,,,,
35760622,NLM,MEDLINE,20230421,20230421,1578-1879 (Electronic) 0214-9168 (Linking),35,2023 Mar-Apr,"Nutrition, cardiovascular disease risk and climate change.",101-103,S0214-9168(22)00066-3 [pii] 10.1016/j.arteri.2022.06.001 [doi],"['Gonzalez Svatetz, Carlos A']",['Gonzalez Svatetz CA'],"['Investigador emerito, Unidad Nutricion y Cancer, Instituto Catalan de Oncologia (ICO-IDIBELL), Barcelona, Espana. Electronic address: cagonzalez@iconcologia.net.']","['eng', 'spa']",['Journal Article'],20220625,Spain,Clin Investig Arterioscler,Clinica e investigacion en arteriosclerosis : publicacion oficial de la Sociedad Espanola de Arteriosclerosis,9208512,IM,"['Humans', '*Climate Change', '*Cardiovascular Diseases/epidemiology/etiology/prevention & control']",2022/06/28 06:00,2023/04/21 06:41,['2022/06/27 22:03'],"['2023/04/21 06:41 [medline]', '2022/06/28 06:00 [pubmed]', '2022/06/27 22:03 [entrez]']","['S0214-9168(22)00066-3 [pii]', '10.1016/j.arteri.2022.06.001 [doi]']",ppublish,Clin Investig Arterioscler. 2023 Mar-Apr;35(2):101-103. doi: 10.1016/j.arteri.2022.06.001. Epub 2022 Jun 25.,2,,,,,,,,,,,,,,,"Nutricion, riesgo de enfermedad cardiovascular y cambio climatico.",,,,,,
